#{"t_start": 1731951818.693053, "env_id": "sokoban-narrow-v0"}
r,l,t
13.0,5,0.964722
0.0,9,0.971723
0.0,8,0.979739
-2.0,8,0.988721
-1.0,9,0.995723
-2.0,6,1.001722
4.0,9,1.00972
5.0,9,1.018721
-5.0,8,1.02573
-13.0,5,1.029721
11.0,7,1.03473
12.0,6,1.03972
7.0,8,1.045721
3.0,7,1.051732
-7.0,9,1.058723
5.0,8,1.06473
-10.0,12,1.07572
3.0,12,1.08672
-2.0,8,1.09472
-6.0,5,1.09972
7.0,10,1.10872
8.0,14,1.11972
-4.0,7,1.12472
-6.0,7,1.13072
-7.0,9,1.13672
-10.0,6,1.14172
-3.0,5,1.14572
5.0,8,1.15272
13.0,7,1.15972
6.0,6,1.164721
9.0,7,1.17172
-2.0,6,1.17672
-1.0,9,1.19372
9.0,5,1.208451
6.0,6,1.213451
3.0,7,1.219451
-4.0,5,1.223451
-5.0,7,1.229451
5.0,6,1.233451
-1.0,6,1.238452
-7.0,9,1.245452
-10.0,8,1.251452
-8.0,7,1.256452
13.0,6,1.261452
-4.0,6,1.266452
0.0,13,1.276452
1.0,9,1.286452
9.0,9,1.295454
3.0,12,1.305454
-9.0,8,1.312452
-12.0,9,1.318451
9.0,5,1.322451
-2.0,8,1.328451
-2.0,7,1.333451
7.0,5,1.337451
4.0,11,1.346451
6.0,7,1.351451
-1.0,11,1.359451
-4.0,10,1.367451
-2.0,7,1.372451
5.0,10,1.380451
4.0,8,1.387452
-2.0,7,1.39345
-5.0,5,1.39745
-5.0,8,1.404558
-10.0,6,1.416584
13.0,8,1.422585
2.0,7,1.429594
-2.0,7,1.435584
4.0,7,1.440584
-3.0,7,1.446584
-3.0,6,1.450584
-12.0,8,1.456585
-8.0,11,1.464585
-2.0,7,1.469585
-2.0,8,1.475586
0.0,5,1.479586
2.0,5,1.483584
1.0,5,1.487584
7.0,7,1.493585
-23.0,7,1.499587
-4.0,6,1.505587
-6.0,11,1.514593
-5.0,6,1.519594
12.0,5,1.523593
12.0,7,1.533651
0.0,7,1.538658
11.0,11,1.546589
0.0,7,1.552664
8.0,6,1.556662
1.0,5,1.561584
-3.0,7,1.566584
-9.0,6,1.571584
6.0,13,1.580584
-1.0,7,1.585584
8.0,9,1.592584
4.0,9,1.603584
0.0,11,1.613064
6.0,6,1.617064
3.0,6,1.622063
19.0,5,1.626064
-3.0,5,1.631063
1.0,8,1.651064
-3.0,7,1.657063
-1.0,5,1.661066
-1.0,10,1.669065
-8.0,5,1.674063
-13.0,6,1.679063
11.0,6,1.685063
-5.0,6,1.690063
-3.0,7,1.697064
3.0,8,1.704064
3.0,8,1.710064
-5.0,7,1.715064
-5.0,6,1.720071
