#{"t_start": 1732542272.4814644, "env_id": "sokoban-narrow-v0"}
r,l,t
-4.0,10,2.91741
-21.0,6,2.954337
-3.0,7,3.000341
-7.0,8,3.065873
5.0,12,3.147078
5.0,7,3.197215
-7.0,8,3.258748
-11.0,13,3.351676
-7.0,8,3.4058
-4.0,7,3.444612
5.0,6,3.496146
-3.0,5,3.530097
6.0,5,3.569013
0.0,8,3.622032
-5.0,6,3.658649
-8.0,7,3.695298
3.0,6,3.722814
-2.0,5,3.751681
2.0,7,3.805444
3.0,5,3.829718
0.0,7,3.865505
2.0,7,3.904439
3.0,8,3.939635
-5.0,8,3.975981
8.0,8,4.015307
4.0,7,4.054135
-5.0,8,4.094657
12.0,5,4.117874
1.0,5,4.153335
-12.0,8,4.19162
-6.0,5,4.215627
9.0,8,4.269645
20.0,9,4.318332
-5.0,6,4.349839
1.0,6,4.383282
-7.0,6,4.411796
-2.0,6,4.443821
-15.0,7,4.483335
5.0,7,4.539803
-3.0,8,4.595469
-1.0,12,4.691515
-8.0,13,4.811022
2.0,6,4.872046
3.0,7,4.935074
14.0,6,4.973589
-2.0,5,5.004105
-5.0,6,5.033756
0.0,11,5.100448
-8.0,7,5.154954
11.0,6,5.192462
-2.0,6,5.240991
8.0,7,5.28824
3.0,7,5.340892
10.0,7,5.385415
-2.0,5,5.419927
9.0,6,5.452443
6.0,6,5.480443
-1.0,7,5.523441
7.0,9,5.574953
-5.0,6,5.622463
-7.0,6,5.652975
-5.0,5,5.692486
-13.0,10,5.758997
8.0,10,5.81651
-3.0,7,5.866103
-6.0,6,5.898295
10.0,6,5.944865
4.0,5,5.982441
-5.0,9,6.032958
-6.0,9,6.09147
19.0,8,6.139493
5.0,7,6.181493
0.0,12,6.253528
-13.0,6,6.282531
12.0,5,6.313046
-5.0,8,6.362552
8.0,6,6.406064
-5.0,6,6.435579
-6.0,5,6.470091
-4.0,8,6.514092
-1.0,7,6.549117
4.0,11,6.613638
11.0,7,6.669661
1.0,9,6.740309
12.0,10,6.812775
-10.0,7,6.857291
10.0,9,6.931315
0.0,7,6.981339
1.0,11,7.054896
-4.0,9,7.118693
-16.0,6,7.17029
-4.0,6,7.216959
0.0,8,7.26048
-13.0,7,7.313994
1.0,9,7.373022
-6.0,6,7.409536
-6.0,8,7.462047
2.0,7,7.507047
-3.0,6,7.537559
-1.0,8,7.588079
15.0,7,7.629593
-4.0,6,7.659107
-3.0,10,7.711109
2.0,8,7.768135
-1.0,5,7.790135
2.0,6,7.831155
-6.0,10,7.886158
3.0,6,7.913671
-5.0,6,7.943182
1.0,7,7.979185
-13.0,5,8.021455
4.0,7,8.078641
-1.0,7,8.131969
0.0,9,8.180116
2.0,8,8.235143
-3.0,5,8.264142
-3.0,12,8.329168
5.0,7,8.369682
5.0,7,8.412968
-10.0,5,8.438996
-10.0,7,8.492995
11.0,7,8.549014
18.0,9,8.600528
5.0,8,8.674545
6.0,8,8.738658
-1.0,11,8.803683
-1.0,5,8.832212
7.0,9,8.900218
1.0,7,9.046932
-9.0,5,9.094454
3.0,5,9.136972
-3.0,6,9.175486
-3.0,13,9.254515
1.0,8,9.312512
-4.0,9,9.370023
0.0,7,9.417537
3.0,7,9.60419
0.0,9,9.646662
3.0,10,9.713421
2.0,6,9.749635
-7.0,9,9.804519
-5.0,9,10.057804
7.0,6,10.101361
-6.0,8,10.142392
-1.0,9,10.201091
-8.0,7,10.245437
4.0,5,10.279333
7.0,11,10.3593
16.0,6,10.396543
1.0,6,10.425819
3.0,6,10.476631
0.0,10,10.539461
-4.0,8,10.596046
0.0,7,10.648676
1.0,9,10.696731
-16.0,9,10.74395
-9.0,6,10.774919
2.0,9,10.849163
10.0,6,10.899809
7.0,8,10.941529
3.0,7,10.982334
8.0,9,11.043798
-10.0,7,11.081445
-1.0,9,11.130758
4.0,7,11.174829
2.0,8,11.221379
-3.0,12,11.311243
-7.0,5,11.351043
-4.0,10,11.399996
-2.0,8,11.449461
-1.0,7,11.498442
2.0,7,11.573472
-6.0,8,11.635094
5.0,7,11.670994
4.0,11,11.747594
-1.0,6,11.775619
