#{"t_start": 1732542272.4834712, "env_id": "sokoban-narrow-v0"}
r,l,t
-8.0,5,2.885405
-1.0,5,2.915403
5.0,11,2.985088
0.0,8,3.046934
-2.0,5,3.086029
10.0,7,3.133435
-9.0,12,3.223854
-22.0,6,3.262617
-7.0,9,3.331938
-3.0,8,3.379794
-5.0,7,3.42966
7.0,7,3.478822
2.0,6,3.520159
2.0,7,3.573336
-6.0,7,3.620546
-1.0,10,3.679323
-12.0,14,3.750182
-9.0,7,3.804005
-4.0,10,3.852838
-5.0,7,3.887738
2.0,6,3.920693
-2.0,8,3.957278
-8.0,9,3.999178
6.0,6,4.028145
1.0,9,4.0795
-3.0,12,4.144414
5.0,8,4.185446
2.0,6,4.214132
-4.0,5,4.247638
4.0,7,4.289756
2.0,10,4.341833
-2.0,8,4.388276
1.0,6,4.415789
12.0,10,4.471329
9.0,9,4.538839
7.0,8,4.593462
2.0,9,4.669508
1.0,8,4.746017
9.0,12,4.846042
-5.0,11,4.947581
0.0,11,5.013775
-3.0,5,5.038209
7.0,5,5.062925
-7.0,8,5.130953
0.0,7,5.167456
-8.0,6,5.217964
3.0,9,5.272877
-14.0,14,5.376408
1.0,5,5.41092
5.0,8,5.454436
3.0,9,5.499434
-6.0,5,5.536944
0.0,8,5.577946
4.0,5,5.620456
4.0,8,5.662479
2.0,8,5.732988
-2.0,7,5.76799
-3.0,15,5.864616
0.0,10,5.931655
-2.0,9,5.995209
12.0,8,6.035949
14.0,6,6.077461
-11.0,9,6.129485
-7.0,11,6.193485
-13.0,10,6.256523
-8.0,7,6.293523
-9.0,5,6.326543
2.0,8,6.375056
8.0,8,6.423572
13.0,8,6.475084
-10.0,10,6.526107
-5.0,8,6.565107
2.0,9,6.621626
5.0,7,6.682654
-3.0,13,6.786777
-7.0,7,6.825283
15.0,8,6.889283
7.0,8,6.950824
-8.0,6,6.992341
-9.0,9,7.05389
-1.0,6,7.092369
-6.0,8,7.159579
-22.0,10,7.230474
6.0,5,7.262471
4.0,7,7.311988
4.0,6,7.345018
-6.0,6,7.392017
2.0,8,7.440047
-1.0,11,7.51104
4.0,6,7.543552
1.0,10,7.609072
2.0,7,7.643101
-2.0,8,7.6811
-2.0,5,7.710102
-8.0,8,7.766129
-10.0,7,7.798641
-12.0,5,7.836149
0.0,6,7.868149
-1.0,8,7.907663
-7.0,5,7.931178
-7.0,5,7.955178
3.0,6,7.992692
-2.0,6,8.038566
6.0,8,8.103953
6.0,6,8.149962
4.0,8,8.193625
8.0,9,8.249133
-3.0,9,8.299648
-5.0,5,8.328162
-4.0,6,8.360675
9.0,7,8.406963
-4.0,10,8.465986
-13.0,6,8.519501
5.0,7,8.56801
-16.0,8,8.618521
-1.0,7,8.677539
6.0,6,8.730046
4.0,9,8.786161
8.0,6,8.820676
7.0,6,8.855461
-2.0,14,9.061924
2.0,8,9.135966
4.0,6,9.17448
12.0,5,9.202993
-6.0,11,9.27752
-19.0,13,9.362016
6.0,9,9.42053
10.0,6,9.602694
-7.0,8,9.639811
-5.0,6,9.674661
-8.0,8,9.730514
-1.0,8,9.785189
5.0,6,9.995424
0.0,7,10.056334
3.0,11,10.122832
-6.0,7,10.174385
-1.0,6,10.203424
1.0,6,10.244458
0.0,8,10.293332
3.0,12,10.380674
-2.0,8,10.424323
1.0,8,10.48849
-7.0,7,10.529454
-3.0,10,10.601047
-2.0,12,10.680725
9.0,9,10.726291
6.0,7,10.762832
4.0,10,10.838347
12.0,13,10.929522
1.0,6,10.960919
6.0,10,11.026348
15.0,6,11.06244
2.0,6,11.095485
