#{"t_start": 1732542272.4804518, "env_id": "sokoban-narrow-v0"}
r,l,t
1.0,9,2.913423
8.0,7,2.955349
-4.0,11,3.035607
-4.0,6,3.082422
2.0,8,3.135946
-11.0,8,3.192457
5.0,6,3.242917
-6.0,8,3.301065
0.0,9,3.359174
8.0,12,3.436857
-2.0,6,3.48084
-4.0,7,3.530218
-4.0,10,3.602102
-5.0,9,3.659138
-4.0,5,3.68653
-6.0,7,3.718939
1.0,8,3.766157
-4.0,8,3.82138
2.0,6,3.851294
-12.0,7,3.885045
6.0,7,3.922485
-1.0,11,3.972931
-9.0,7,4.006311
8.0,10,4.060835
8.0,6,4.090941
-4.0,6,4.118378
6.0,6,4.158479
-7.0,8,4.197382
14.0,6,4.228051
-2.0,5,4.263658
-1.0,5,4.292775
-7.0,9,4.338853
3.0,9,4.390295
1.0,9,4.431323
-2.0,8,4.478348
2.0,7,4.532104
-11.0,7,4.579481
-17.0,5,4.624487
2.0,8,4.686527
2.0,7,4.758036
-12.0,11,4.848058
2.0,5,4.912572
1.0,5,4.942592
14.0,10,5.004117
-3.0,11,5.060945
-5.0,6,5.100461
14.0,6,5.150967
-1.0,12,5.234001
-8.0,9,5.296932
14.0,8,5.354904
-17.0,11,5.428454
3.0,10,5.476453
-11.0,7,5.517454
-5.0,10,5.575965
-2.0,8,5.634987
-1.0,11,5.711505
-5.0,6,5.75001
-14.0,7,5.79052
-1.0,12,5.866594
-2.0,5,5.893034
11.0,7,5.944878
-8.0,8,6.005418
-4.0,6,6.03297
5.0,8,6.087481
2.0,10,6.148503
6.0,6,6.181505
-12.0,5,6.209018
3.0,7,6.253545
9.0,5,6.277543
7.0,8,6.328565
0.0,11,6.399075
2.0,7,6.436592
-3.0,9,6.496105
5.0,8,6.537128
18.0,5,6.560126
15.0,10,6.619651
5.0,7,6.678674
-3.0,9,6.748692
-9.0,8,6.807792
2.0,8,6.858304
-1.0,5,6.899302
-3.0,8,6.962844
-7.0,6,7.004361
8.0,5,7.038393
-1.0,7,7.083586
2.0,9,7.153796
2.0,6,7.206463
6.0,9,7.256492
6.0,6,7.305005
-1.0,7,7.341522
-5.0,9,7.404037
-2.0,6,7.443066
6.0,10,7.50806
8.0,10,7.560572
-6.0,8,7.617094
0.0,9,7.660119
8.0,9,7.706121
-3.0,7,7.757146
7.0,10,7.808661
4.0,5,7.843168
-5.0,6,7.877171
