#{"t_start": 1732542272.5003812, "env_id": "sokoban-narrow-v0"}
r,l,t
-5.0,7,2.883493
10.0,9,2.938419
7.0,8,2.993217
-3.0,7,3.049956
4.0,7,3.09646
3.0,7,3.14584
-10.0,7,3.198432
-8.0,7,3.250824
-11.0,6,3.294258
7.0,7,3.341293
10.0,5,3.372885
-3.0,6,3.414286
1.0,5,3.445909
6.0,7,3.498856
-5.0,10,3.572786
-3.0,7,3.617773
-9.0,5,3.648013
3.0,7,3.683137
-6.0,9,3.728539
2.0,10,3.798191
2.0,8,3.837549
4.0,7,3.874954
-4.0,7,3.910075
0.0,5,3.932766
-3.0,8,3.969026
1.0,6,3.998978
6.0,7,4.038303
-3.0,9,4.081911
-5.0,8,4.130505
7.0,6,4.159585
6.0,8,4.201279
7.0,9,4.259833
-1.0,6,4.2902
-5.0,6,4.321925
5.0,7,4.361365
6.0,7,4.395878
1.0,12,4.461418
-12.0,10,4.535038
1.0,8,4.597552
-11.0,6,4.647599
15.0,8,4.723107
2.0,7,4.780106
0.0,7,4.850128
-12.0,8,4.919156
-4.0,9,4.975187
-2.0,7,5.011791
13.0,9,5.061014
-6.0,8,5.126037
-2.0,8,5.177546
4.0,6,5.225071
5.0,6,5.259052
7.0,6,5.312974
20.0,13,5.39501
9.0,5,5.426527
11.0,5,5.447527
8.0,5,5.473524
-1.0,6,5.514034
1.0,5,5.544042
8.0,8,5.597546
-5.0,5,5.627057
1.0,7,5.679569
-1.0,10,5.744078
-1.0,6,5.777591
5.0,11,5.851372
3.0,7,5.891412
1.0,7,5.941054
-1.0,10,6.006033
-12.0,7,6.048551
-13.0,7,6.089553
2.0,9,6.151576
12.0,7,6.183084
-14.0,6,6.222612
4.0,5,6.250613
3.0,6,6.287129
-5.0,11,6.352146
-8.0,7,6.400148
-4.0,7,6.438173
-4.0,6,6.479175
13.0,6,6.506191
4.0,6,6.537199
-10.0,6,6.573198
-6.0,6,6.60923
18.0,8,6.67375
11.0,5,6.715489
6.0,8,6.777858
2.0,8,6.827371
0.0,7,6.882372
-11.0,6,6.928915
-7.0,10,7.002947
-14.0,14,7.092775
5.0,7,7.154527
7.0,5,7.194043
-3.0,10,7.257075
-2.0,6,7.299077
-6.0,5,7.32411
11.0,7,7.377106
1.0,7,7.420136
-4.0,10,7.48513
-7.0,7,7.52364
6.0,8,7.572166
1.0,9,7.62268
1.0,7,7.656192
1.0,7,7.696189
-3.0,7,7.74622
7.0,10,7.79773
7.0,11,7.863241
5.0,5,7.887241
-2.0,6,7.916266
14.0,6,7.946267
14.0,10,8.018004
-11.0,10,8.099339
4.0,7,8.145638
-7.0,9,8.200711
-6.0,7,8.242225
-5.0,7,8.279738
-1.0,5,8.30725
4.0,9,8.359331
-6.0,6,8.397051
7.0,5,8.422076
-3.0,5,8.462078
-1.0,5,8.504587
4.0,6,8.5471
20.0,7,8.586614
-2.0,5,8.637629
-17.0,15,8.743741
9.0,7,8.787765
-4.0,5,8.816841
6.0,5,8.850556
10.0,10,9.021014
-3.0,7,9.085537
1.0,6,9.135053
-5.0,6,9.17057
5.0,6,9.203083
-5.0,7,9.257601
-11.0,7,9.302596
-5.0,6,9.342106
5.0,5,9.377618
5.0,8,9.566461
-6.0,12,9.629775
4.0,9,9.690751
8.0,9,9.749717
2.0,6,9.782968
-3.0,6,10.020091
-5.0,6,10.055446
0.0,5,10.088955
-9.0,5,10.113257
-1.0,9,10.173031
10.0,8,10.222761
-2.0,9,10.280087
-1.0,7,10.336277
10.0,5,10.367765
-3.0,11,10.433526
1.0,14,10.531546
10.0,6,10.574086
-4.0,12,10.655815
1.0,7,10.69136
-1.0,12,10.752538
12.0,8,10.815762
-10.0,9,10.888795
6.0,6,10.919612
6.0,11,10.98793
0.0,8,11.038529
-1.0,8,11.081116
-1.0,7,11.11984
-11.0,6,11.157989
7.0,9,11.216981
6.0,7,11.273496
13.0,8,11.328807
-6.0,8,11.369105
-7.0,6,11.397658
-6.0,5,11.432545
4.0,9,11.514405
2.0,6,11.568316
7.0,6,11.612645
1.0,6,11.64045
11.0,5,11.671056
-1.0,8,11.732198
-7.0,9,11.778414
-9.0,5,11.815442
-1.0,7,11.86825
-13.0,12,11.963523
3.0,7,12.001065
6.0,7,12.04873
-5.0,10,12.130171
-8.0,8,12.171407
5.0,6,12.200016
2.0,7,12.239096
1.0,7,12.281009
19.0,7,12.317135
3.0,7,12.352021
-7.0,7,12.404117
-3.0,9,12.459982
-7.0,9,12.531143
-7.0,7,12.569966
-2.0,8,12.627604
5.0,5,12.665469
1.0,9,12.737854
-11.0,10,12.793831
-14.0,7,12.831156
0.0,9,12.884361
0.0,7,12.921098
4.0,6,12.959502
7.0,8,13.012437
4.0,7,13.053439
-3.0,5,13.083428
0.0,6,13.128254
-4.0,9,13.191013
-5.0,9,13.268257
-12.0,7,13.31244
3.0,5,13.34954
4.0,7,13.426401
-6.0,9,13.474877
-3.0,6,13.506975
-5.0,7,13.544271
7.0,7,13.583203
-2.0,8,13.630419
-9.0,8,13.678747
-2.0,8,13.721284
-1.0,7,13.759343
5.0,9,13.805156
8.0,8,13.8555
-2.0,8,13.900259
-10.0,8,13.943503
4.0,8,13.993131
4.0,7,14.029655
5.0,7,14.068971
2.0,5,14.09865
-6.0,8,14.143539
-7.0,5,14.172405
-3.0,10,14.236115
-3.0,6,14.271129
-7.0,9,14.326524
3.0,6,14.357537
-7.0,5,14.386901
8.0,12,14.45988
9.0,7,14.50154
-15.0,9,14.554111
-2.0,10,14.605992
-8.0,9,14.709732
0.0,7,14.771972
-12.0,5,14.806031
7.0,8,14.860895
-5.0,8,14.914174
5.0,5,14.943448
0.0,5,14.982678
-11.0,7,15.035547
1.0,8,15.113888
-8.0,8,16.061979
0.0,8,16.107476
-1.0,5,16.144274
4.0,5,16.177827
0.0,8,16.229461
1.0,13,16.305901
-2.0,13,16.389739
2.0,6,16.443018
-1.0,5,16.49101
-2.0,5,16.540596
-8.0,10,16.618156
-7.0,7,16.661305
6.0,7,16.716281
2.0,6,16.761035
-11.0,5,16.797278
-2.0,8,16.845554
8.0,6,16.889698
13.0,12,16.98326
-2.0,13,17.098565
0.0,8,17.164368
-4.0,6,17.205802
7.0,8,17.391671
14.0,11,17.465179
-10.0,12,17.542703
7.0,8,17.603703
-3.0,8,17.654994
6.0,6,17.690993
8.0,7,74.827806
-1.0,9,74.893243
1.0,6,74.935267
-10.0,5,74.994221
11.0,10,75.075262
6.0,7,75.128873
15.0,5,75.175999
-18.0,7,75.234534
10.0,9,75.295529
-6.0,8,75.350762
-1.0,7,75.400766
-4.0,5,75.445283
