#{"t_start": 1732753908.3045733, "env_id": "sokoban-turtle-v0"}
r,l,t
6.0,8,1.008198
3.0,13,1.023827
0.0,14,1.072421
0.0,9,1.128039
4.0,25,1.244453
0.0,14,1.301963
-1.0,6,1.335768
5.0,17,1.413101
-7.0,9,1.449064
0.0,7,1.477532
4.0,10,1.513761
0.0,16,1.579855
2.0,10,1.615056
-1.0,11,1.655603
12.0,14,1.703369
0.0,7,1.728368
0.0,10,1.781281
-5.0,11,1.821037
-7.0,11,1.872038
-3.0,11,1.907542
0.0,12,1.959906
0.0,12,2.004295
-7.0,6,2.020613
0.0,14,2.077669
-7.0,10,2.142194
-1.0,12,2.180166
-3.0,9,2.206769
0.0,8,2.229995
3.0,11,2.264429
-8.0,10,2.293995
-10.0,11,2.322869
4.0,8,2.344527
0.0,7,2.392379
-3.0,5,2.403841
3.0,13,2.45131
-7.0,17,2.504989
0.0,18,2.581482
4.0,13,2.621662
4.0,7,2.644346
-4.0,12,2.680421
4.0,13,2.743088
0.0,7,2.767306
7.0,8,2.80529
-7.0,23,2.886696
-12.0,21,2.972517
1.0,10,3.013376
4.0,10,3.053325
3.0,11,3.090334
-2.0,8,3.131123
0.0,9,3.168447
-3.0,14,3.253372
5.0,9,3.295099
-2.0,7,3.329857
2.0,13,3.37774
-2.0,18,3.433042
6.0,9,3.462587
-1.0,14,3.502375
-2.0,13,3.545032
-3.0,11,3.58151
-4.0,10,3.613934
4.0,12,3.656932
11.0,13,3.724059
-1.0,14,3.777391
-2.0,8,3.805574
2.0,11,3.838226
-2.0,9,3.874376
0.0,10,3.909967
-8.0,18,3.971651
0.0,7,3.991601
-8.0,9,4.016675
5.0,10,4.064849
4.0,12,4.12422
-3.0,10,4.165356
-3.0,17,4.233369
-1.0,8,4.272263
-1.0,7,4.302365
-4.0,8,4.347579
9.0,12,4.414215
-2.0,12,4.455154
4.0,8,4.483527
8.0,10,4.514584
3.0,5,4.533611
7.0,8,4.558395
-6.0,12,4.595078
-3.0,20,4.660106
0.0,8,4.696614
7.0,15,4.769332
2.0,7,4.793897
4.0,6,4.810162
-4.0,7,4.830702
-2.0,10,4.942978
10.0,15,4.980969
7.0,6,4.996398
4.0,9,5.024346
0.0,8,5.054937
1.0,9,5.086303
11.0,18,5.179148
5.0,17,5.2276
-1.0,11,5.266634
-2.0,12,5.304117
-4.0,10,5.330876
7.0,7,5.349648
5.0,9,5.369348
2.0,7,5.389127
1.0,17,5.439114
-8.0,13,5.480891
-2.0,12,5.516622
-4.0,13,5.562101
-2.0,8,5.589959
2.0,11,5.620624
8.0,8,5.641645
1.0,10,5.673198
1.0,10,5.708101
-3.0,11,5.740287
-7.0,13,5.816039
-3.0,13,5.851193
5.0,5,5.864484
-4.0,8,5.884548
-3.0,8,5.909141
-3.0,9,5.929886
0.0,10,5.951422
-6.0,11,5.98023
2.0,9,6.007143
-2.0,11,6.034514
7.0,8,6.053298
5.0,14,6.090065
7.0,21,6.149532
0.0,7,6.175683
0.0,11,6.208834
-3.0,9,6.23172
-2.0,16,6.282045
-2.0,16,6.3213
4.0,7,6.343317
2.0,22,6.401404
-5.0,6,6.425595
10.0,13,6.460232
-4.0,7,6.475857
0.0,16,6.512383
3.0,7,6.527088
-5.0,17,6.586333
4.0,12,6.620682
1.0,9,6.646381
-3.0,9,6.670693
4.0,7,6.688085
-1.0,9,6.727537
-2.0,7,7.109908
-2.0,9,7.134935
1.0,20,7.191559
-2.0,8,7.21469
5.0,8,7.251461
0.0,6,7.271458
-1.0,10,7.29685
10.0,9,7.318415
-4.0,16,7.350322
8.0,12,7.396285
-4.0,15,7.428098
-8.0,18,7.465589
3.0,8,7.483902
