#{"t_start": 1732804559.542666, "env_id": "sokoban-wide-v0"}
r,l,t
-8.0,6,1.166296
-12.0,5,1.238295
3.0,6,1.331295
-1.0,5,1.421293
8.0,7,1.526295
-4.0,5,1.598623
-6.0,5,1.684622
0.0,5,1.815914
-10.0,6,1.896912
0.0,6,1.968912
-3.0,5,2.047469
8.0,6,2.122462
10.0,6,2.208462
0.0,7,2.311459
0.0,7,2.437459
-2.0,6,2.526539
1.0,5,2.628459
0.0,8,2.737459
12.0,5,2.803942
-4.0,6,2.887021
4.0,6,2.972941
3.0,6,3.04994
-2.0,6,3.140427
6.0,6,3.253425
5.0,5,3.312425
0.0,6,3.383425
0.0,8,3.50156
-3.0,6,3.586561
13.0,6,3.703637
0.0,5,3.77256
1.0,5,4.252568
-11.0,6,4.36469
-4.0,6,4.429691
7.0,8,4.55569
-6.0,8,4.684691
-2.0,5,4.74869
-1.0,7,4.829199
-1.0,6,4.911204
-2.0,9,5.0182
-8.0,10,5.142199
0.0,5,5.210207
-5.0,8,5.317232
-2.0,8,5.452231
7.0,6,5.58423
-3.0,6,5.651232
7.0,8,5.757244
3.0,8,5.84874
-14.0,6,5.932741
0.0,8,6.040742
10.0,5,6.127389
8.0,8,6.236911
12.0,5,6.30791
-1.0,5,6.36192
-3.0,5,6.424988
-14.0,6,6.505912
-5.0,5,6.619913
-9.0,6,6.689912
19.0,6,6.752918
7.0,7,6.84242
-12.0,6,6.940419
-5.0,6,7.001429
-3.0,5,7.06242
3.0,5,7.127419
0.0,6,7.269423
4.0,9,7.44842
-3.0,7,7.56889
-5.0,7,7.690875
-11.0,5,7.808878
-6.0,7,7.936393
-4.0,6,8.024387
-5.0,6,8.137387
6.0,5,8.235389
1.0,8,8.348386
-11.0,8,8.494387
4.0,5,8.576391
7.0,8,8.751389
2.0,7,8.874694
1.0,5,9.101696
-5.0,6,9.205695
6.0,6,9.323697
-12.0,5,9.515789
5.0,5,9.651789
23.0,10,9.804788
-4.0,6,9.903303
-3.0,5,9.998303
14.0,6,10.122302
2.0,8,10.280545
-1.0,7,10.491545
6.0,5,10.580541
-1.0,7,10.718541
14.0,5,10.809543
0.0,6,10.911819
16.0,6,11.008809
-2.0,6,11.128809
-1.0,5,11.221814
3.0,5,11.288807
-7.0,5,11.377807
-1.0,7,11.493806
-13.0,5,11.573805
-5.0,6,11.667526
-2.0,5,11.735522
11.0,7,11.836522
-3.0,7,11.922705
9.0,6,12.028699
-1.0,5,12.101708
-14.0,6,12.1947
8.0,6,12.299702
7.0,6,12.392706
5.0,6,12.563706
16.0,7,12.6867
-3.0,5,12.767702
-7.0,5,12.8347
12.0,5,12.892216
-27.0,6,13.012463
3.0,7,13.116463
-14.0,7,13.236465
-1.0,5,13.324464
-4.0,5,13.411464
3.0,9,13.534466
-19.0,8,13.679466
-5.0,7,13.814463
-3.0,8,13.93597
10.0,6,14.04897
8.0,7,14.145973
1.0,7,14.257504
4.0,6,14.35618
-3.0,8,14.53018
-13.0,7,14.662181
-5.0,7,14.75418
-2.0,9,14.875254
-6.0,7,15.007253
4.0,5,15.125254
27.0,5,15.219252
-12.0,7,15.364327
-5.0,6,15.455333
11.0,5,15.539326
6.0,7,15.67351
-10.0,7,15.787515
-2.0,5,15.880855
7.0,8,16.032858
-6.0,6,16.155855
-4.0,5,16.234855
0.0,8,16.359854
-8.0,9,16.504854
9.0,5,16.575854
8.0,6,16.649855
3.0,6,16.727852
1.0,7,16.841851
2.0,7,16.951357
0.0,5,17.03651
1.0,5,17.105745
-9.0,5,17.183744
-4.0,5,17.256745
-2.0,7,17.606848
1.0,5,17.682849
-5.0,10,18.49288
7.0,7,18.575883
5.0,7,18.679881
13.0,5,18.768883
17.0,5,19.294775
3.0,7,19.386773
2.0,6,19.472776
4.0,6,19.550774
-11.0,5,19.626773
1.0,5,19.706773
-2.0,5,19.801253
15.0,5,19.879207
-2.0,10,20.060708
7.0,6,20.180707
9.0,7,20.32171
0.0,8,20.492837
16.0,8,20.70184
-15.0,8,20.861839
3.0,7,20.973355
2.0,6,21.088354
-4.0,6,21.208502
2.0,5,21.296568
7.0,6,21.391505
1.0,7,21.515508
-3.0,5,21.639505
-7.0,6,21.725504
9.0,5,21.822504
-10.0,6,21.92501
1.0,6,22.003015
-4.0,5,22.078013
-2.0,6,22.165014
-6.0,5,22.249012
-8.0,6,22.33101
-5.0,6,22.418012
10.0,7,22.573152
8.0,5,22.66816
7.0,5,22.744233
-3.0,6,22.835233
5.0,7,23.000743
-3.0,7,23.109743
5.0,5,23.176742
10.0,5,23.239743
8.0,5,23.310751
9.0,6,23.418747
-16.0,6,23.537743
11.0,5,23.62659
-11.0,6,23.7266
-2.0,5,23.83566
-6.0,6,23.93995
0.0,7,24.066952
-3.0,6,24.151951
11.0,8,24.28395
-10.0,6,24.426952
18.0,6,24.543952
13.0,6,24.64695
-10.0,9,24.807953
-14.0,5,24.887949
9.0,6,24.981991
-12.0,6,25.068992
7.0,7,25.19199
-2.0,6,25.281651
-11.0,7,25.384743
4.0,5,25.484745
10.0,5,25.566744
-18.0,5,25.638747
6.0,7,25.737746
-2.0,5,25.813743
5.0,9,25.95226
-1.0,5,26.109262
8.0,5,26.196259
2.0,6,26.29726
7.0,10,26.460259
-4.0,5,26.53026
-8.0,7,26.683586
9.0,6,26.798594
8.0,7,26.90059
3.0,6,26.994104
6.0,7,27.093107
3.0,8,27.469543
-1.0,5,27.532473
9.0,5,27.612471
-3.0,6,27.70447
16.0,6,27.820474
-8.0,6,27.914531
-7.0,5,28.000388
-12.0,5,28.079329
-5.0,6,28.187315
-6.0,6,28.312322
-9.0,8,28.453313
-11.0,9,28.784321
-13.0,6,28.872328
-5.0,7,29.012523
-9.0,6,29.121523
1.0,6,29.21252
-6.0,5,29.27752
3.0,7,29.381675
-5.0,6,29.487679
-18.0,5,29.582675
-21.0,7,29.694674
-2.0,9,29.845674
-4.0,8,29.961179
1.0,8,30.081182
2.0,7,30.182182
2.0,7,30.283179
-1.0,5,30.351179
5.0,6,30.683532
-1.0,6,30.776533
-8.0,6,30.877529
1.0,5,30.954169
4.0,6,31.043169
-8.0,7,31.139172
-3.0,5,31.238169
5.0,8,31.402169
-3.0,6,31.57217
6.0,5,31.745175
6.0,5,31.81817
1.0,7,31.954706
11.0,5,32.019707
5.0,8,32.161932
18.0,9,32.310929
-1.0,7,32.408935
5.0,6,32.491933
-4.0,7,32.603929
