#{"t_start": 1732804559.5756671, "env_id": "sokoban-wide-v0"}
r,l,t
4.0,10,1.196294
0.0,8,1.326293
-8.0,6,1.414292
11.0,8,1.546292
1.0,5,1.628622
-7.0,7,1.792911
-11.0,10,1.915912
-3.0,6,1.997545
-1.0,5,2.054542
6.0,5,2.14746
5.0,5,2.20946
-6.0,6,2.298467
-3.0,7,2.428458
-7.0,5,2.51246
-4.0,6,2.62146
4.0,7,2.710458
12.0,5,2.778941
20.0,6,2.864021
8.0,6,2.947939
-4.0,9,3.071426
-2.0,6,3.185426
-16.0,6,3.261423
4.0,7,3.345423
14.0,5,3.411559
2.0,6,3.499569
-14.0,5,3.581568
-16.0,6,3.685572
4.0,6,4.192568
-2.0,7,4.306688
13.0,6,4.378689
-2.0,6,4.456688
3.0,6,4.567689
8.0,7,4.66569
-2.0,6,4.746689
7.0,8,4.834198
5.0,5,4.902198
-6.0,11,5.044196
11.0,10,5.171205
1.0,6,5.259229
11.0,5,5.324231
-3.0,6,5.44123
-2.0,6,5.555229
7.0,7,5.640231
8.0,6,5.714239
-2.0,8,5.81074
3.0,8,5.917739
1.0,7,6.012741
-2.0,6,6.11791
2.0,7,6.208909
-6.0,7,6.305995
11.0,5,6.361912
-5.0,6,6.429988
-13.0,6,6.566912
-3.0,6,6.641911
2.0,6,6.703911
4.0,6,6.773911
1.0,6,6.869417
8.0,6,6.941419
6.0,6,7.006419
-15.0,6,7.084418
1.0,5,7.209418
-12.0,6,7.332418
3.0,6,7.448422
7.0,8,7.580871
1.0,6,7.686871
7.0,5,7.811391
-10.0,6,7.915388
2.0,5,7.982385
-4.0,6,8.095385
-1.0,5,8.193388
-10.0,6,8.279385
2.0,6,8.370387
5.0,8,8.523388
5.0,5,8.614388
13.0,5,8.738387
-8.0,6,8.834693
5.0,6,9.090693
1.0,7,9.226694
2.0,5,9.295696
-6.0,8,9.582786
5.0,5,9.673787
-14.0,6,9.758787
2.0,6,9.861312
-2.0,5,9.957312
0.0,7,10.1023
-6.0,7,10.233604
-6.0,5,10.39554
4.0,5,10.497542
3.0,5,10.605542
-9.0,8,10.748543
