#{"t_start": 1732804559.5276594, "env_id": "sokoban-wide-v0"}
r,l,t
3.0,6,1.177302
4.0,5,1.249375
-6.0,8,1.38031
-4.0,8,1.4963
-6.0,8,1.627714
3.0,9,1.827937
-8.0,7,1.920918
-6.0,6,1.991919
2.0,5,2.071476
-3.0,6,2.154473
-11.0,5,2.218467
2.0,6,2.310466
-5.0,6,2.421467
-5.0,5,2.490467
2.0,5,2.586467
-3.0,5,2.674468
7.0,6,2.746467
-13.0,7,2.846025
8.0,5,2.917024
3.0,5,2.986948
-1.0,7,3.073947
-8.0,5,3.142508
0.0,6,3.266432
9.0,9,3.372432
-7.0,7,3.464567
-3.0,7,3.568567
-9.0,5,3.657568
2.0,7,3.768577
-2.0,7,4.276575
4.0,7,4.3967
-6.0,5,4.456698
-6.0,5,4.521696
-1.0,6,4.630697
2.0,9,4.759696
-8.0,5,4.816698
-3.0,6,4.890206
6.0,6,4.965206
6.0,5,5.028206
4.0,6,5.111206
1.0,7,5.184207
7.0,5,5.267204
-10.0,6,5.339247
-1.0,6,5.43124
17.0,5,5.569242
-3.0,5,5.630246
7.0,5,5.693247
1.0,5,5.756239
15.0,5,5.81024
2.0,5,5.889747
9.0,6,5.956748
-7.0,7,6.047748
4.0,6,6.154917
-5.0,8,6.260918
20.0,6,6.347919
10.0,6,6.41392
-2.0,6,6.481996
0.0,7,6.63192
5.0,5,6.69292
-6.0,7,6.765925
0.0,5,6.82692
14.0,5,6.911426
-7.0,6,6.983429
-9.0,7,7.061427
-1.0,7,7.152429
-5.0,7,7.313429
-4.0,6,7.444426
3.0,8,7.580947
-6.0,5,7.662882
13.0,5,7.770882
-8.0,5,7.8774
1.0,5,7.975393
10.0,5,8.037394
4.0,6,8.149394
-3.0,7,8.27546
-8.0,5,8.347393
-2.0,8,8.492393
9.0,7,8.601397
-11.0,6,8.746395
-3.0,8,8.887702
-2.0,5,9.110703
0.0,6,9.218704
6.0,6,9.335703
-9.0,7,9.558814
-3.0,6,9.712795
-1.0,6,9.794805
14.0,5,9.891309
-6.0,6,9.989307
-17.0,5,10.07531
1.0,6,10.216309
-9.0,7,10.409552
1.0,7,10.55155
-3.0,5,10.663548
-4.0,5,10.745548
-2.0,5,10.83855
6.0,5,10.923814
-1.0,6,11.021815
5.0,6,11.141818
8.0,7,11.262814
9.0,6,11.347814
-3.0,6,11.455815
7.0,7,11.574815
-3.0,5,11.643531
3.0,7,11.748529
1.0,8,11.860708
-2.0,7,11.946715
-5.0,7,12.063706
-3.0,5,12.143707
-4.0,6,12.240708
10.0,6,12.34771
6.0,8,12.531714
14.0,7,12.650709
1.0,9,12.804708
16.0,5,12.871217
-4.0,6,12.972475
11.0,5,13.05447
8.0,5,13.12847
-9.0,5,13.214472
1.0,6,13.318469
-3.0,7,13.438473
0.0,7,13.533479
-4.0,6,13.632532
4.0,6,13.753474
1.0,5,13.84247
-10.0,6,13.928978
0.0,6,14.042977
-1.0,7,14.145978
8.0,5,14.211978
15.0,6,14.317732
3.0,7,14.456187
-1.0,7,14.595188
0.0,6,14.705255
-9.0,5,14.766187
-3.0,6,14.84419
7.0,6,14.927261
-20.0,5,15.039262
12.0,6,15.172264
-8.0,5,15.26626
-13.0,7,15.410332
1.0,5,15.480345
-3.0,5,15.567332
-10.0,6,15.682995
0.0,7,15.799522
-5.0,5,15.892861
-11.0,5,15.991862
14.0,5,16.103861
-3.0,8,16.236864
4.0,6,16.321859
-12.0,5,16.401861
-14.0,5,16.485862
3.0,7,16.588865
11.0,9,16.702862
-11.0,7,16.809858
-10.0,5,16.888365
10.0,5,16.964364
-6.0,5,17.049471
0.0,5,17.116751
1.0,9,17.254754
10.0,7,17.604859
-4.0,6,17.695857
-2.0,5,18.445887
-10.0,6,18.514887
-3.0,6,18.587893
6.0,5,18.666889
-5.0,6,18.762891
-1.0,5,19.29078
-7.0,5,19.363782
7.0,5,19.433786
-5.0,10,19.561783
-7.0,9,19.70778
-3.0,6,19.81327
-3.0,7,19.931712
1.0,7,20.053715
-3.0,5,20.169715
1.0,5,20.261716
-5.0,7,20.377913
-7.0,6,20.523844
-1.0,5,20.670843
0.0,5,20.786846
-9.0,5,20.872845
-1.0,7,20.984364
6.0,5,21.076362
-1.0,6,21.194576
4.0,9,21.351511
-2.0,7,21.468512
-6.0,8,21.64851
10.0,5,21.717511
0.0,6,21.827513
-2.0,5,21.926018
-7.0,6,22.001022
-8.0,6,22.091021
-10.0,6,22.178024
-21.0,6,22.27302
15.0,5,22.343017
-7.0,8,22.465021
-12.0,8,22.64216
3.0,5,22.724239
9.0,5,22.799239
7.0,6,22.89424
-3.0,6,23.04275
-3.0,6,23.138749
8.0,7,23.224749
-6.0,8,23.341753
-12.0,6,23.450753
7.0,5,23.549749
12.0,7,23.6856
-10.0,5,23.752607
-8.0,7,23.906652
9.0,5,23.977957
-9.0,10,24.14903
-2.0,6,24.25796
-1.0,6,24.334956
11.0,7,24.514956
-13.0,6,24.625956
3.0,9,24.788959
-5.0,8,24.928997
7.0,6,25.011996
-9.0,6,25.094999
-2.0,6,25.203996
-9.0,8,25.318657
4.0,6,25.408749
-1.0,5,25.511754
-1.0,5,25.592753
7.0,5,25.664753
