#{"t_start": 1732804559.5626569, "env_id": "sokoban-wide-v0"}
r,l,t
3.0,8,1.186302
5.0,6,1.268302
8.0,6,1.376305
0.0,5,1.440303
-5.0,6,1.540302
3.0,7,1.655636
-2.0,6,1.803923
4.0,7,1.893921
-7.0,7,1.988923
9.0,7,2.066549
13.0,10,2.210471
-1.0,5,2.296469
0.0,7,2.420468
-8.0,5,2.490546
12.0,6,2.610468
-3.0,6,2.692471
-9.0,5,2.764512
9.0,7,2.858951
-5.0,6,2.940958
0.0,7,3.032949
-3.0,6,3.123436
20.0,6,3.237437
7.0,6,3.307434
10.0,6,3.38304
-4.0,5,3.453569
-16.0,6,3.540569
17.0,6,3.651571
4.0,7,3.755569
8.0,5,4.235577
-4.0,6,4.348698
4.0,6,4.4167
-7.0,5,4.480698
-3.0,5,4.5777
-3.0,5,4.652701
5.0,6,4.7327
-3.0,6,4.800208
10.0,5,4.864207
-13.0,7,4.951209
12.0,8,5.051206
-1.0,8,5.144207
-2.0,5,5.223282
-4.0,5,5.289241
5.0,9,5.435241
19.0,6,5.56724
-2.0,5,5.621241
2.0,5,5.691242
-1.0,6,5.759242
-4.0,5,5.822749
-3.0,5,5.89675
0.0,6,5.96575
0.0,7,6.08075
3.0,8,6.188922
-6.0,7,6.29092
4.0,7,6.370922
4.0,5,6.429922
1.0,8,6.591922
-5.0,6,6.661923
-1.0,6,6.724922
-17.0,7,6.814429
-9.0,7,6.923428
8.0,5,6.973432
3.0,6,7.044429
-9.0,6,7.124429
5.0,10,7.37143
6.0,8,7.511951
5.0,6,7.605888
-3.0,5,7.696881
4.0,7,7.848402
10.0,5,7.947396
-2.0,5,8.020396
-3.0,5,8.106396
6.0,7,8.231462
-1.0,7,8.331395
1.0,6,8.449395
9.0,5,8.533397
2.0,7,8.662399
9.0,6,8.804826
-7.0,8,9.065706
5.0,5,9.163705
0.0,5,9.269703
-11.0,5,9.420708
11.0,6,9.592795
9.0,6,9.696797
9.0,5,9.768797
1.0,7,9.888312
2.0,7,10.016309
-4.0,7,10.17431
0.0,5,10.298552
1.0,6,10.460553
12.0,6,10.56955
8.0,5,10.677551
-12.0,5,10.758554
-4.0,6,10.863823
6.0,6,10.958816
-3.0,6,11.083824
-9.0,5,11.164884
-1.0,5,11.244814
-7.0,8,11.376816
-5.0,8,11.502815
-2.0,7,11.615533
10.0,7,11.718533
7.0,6,11.804602
10.0,5,11.867712
-18.0,5,11.95471
0.0,6,12.033709
-1.0,8,12.161709
0.0,7,12.286711
-10.0,5,12.361714
-6.0,5,12.510715
15.0,10,12.699709
-8.0,6,12.778709
-10.0,7,12.860214
-5.0,5,12.971472
-7.0,5,13.049472
1.0,8,13.170473
8.0,6,13.277472
-6.0,5,13.365472
-11.0,5,13.435473
-3.0,5,13.505473
0.0,5,13.588474
4.0,8,13.743473
-7.0,7,13.86098
2.0,6,13.967978
4.0,6,14.058981
15.0,5,14.128979
-9.0,6,14.228512
-5.0,9,14.374189
-3.0,6,14.514189
