#{"t_start": 1732804559.5246592, "env_id": "sokoban-wide-v0"}
r,l,t
6.0,5,1.166303
-3.0,8,1.2863
3.0,9,1.428302
17.0,6,1.513301
-5.0,6,1.613073
4.0,6,1.714631
-13.0,5,1.847919
-7.0,10,1.97092
1.0,6,2.063475
1.0,6,2.132468
-9.0,6,2.220468
2.0,5,2.298469
12.0,5,2.370477
5.0,5,2.472466
-15.0,5,2.540549
-2.0,7,2.675471
-14.0,8,2.784467
3.0,10,2.920024
10.0,6,3.004947
-8.0,5,3.065947
-10.0,8,3.194435
-6.0,5,3.280434
2.0,7,3.363432
14.0,6,3.44357
3.0,5,3.516567
-7.0,5,3.588567
9.0,8,3.730577
-6.0,7,4.247575
6.0,7,4.361696
1.0,6,4.432698
8.0,6,4.510696
-8.0,7,4.632697
-3.0,6,4.720698
12.0,5,4.792698
-2.0,5,4.843207
6.0,5,4.907213
-13.0,6,4.981207
-6.0,6,5.053207
-7.0,6,5.141207
1.0,6,5.213214
7.0,8,5.322241
-3.0,6,5.40824
1.0,5,5.524238
-9.0,6,5.622238
6.0,5,5.677241
-10.0,5,5.743241
-4.0,5,5.80324
-6.0,6,5.891747
-3.0,5,5.948748
4.0,7,6.034747
-4.0,6,6.141382
3.0,8,6.24892
0.0,5,6.321918
1.0,5,6.376927
-1.0,11,6.514921
-12.0,6,6.645921
-5.0,5,6.70492
-14.0,6,6.768925
3.0,5,6.828922
-5.0,5,6.914426
2.0,6,6.985426
3.0,6,7.050428
-12.0,6,7.123432
-6.0,10,7.33243
13.0,7,7.485429
-3.0,8,7.61888
3.0,8,7.772882
6.0,6,7.893406
-14.0,8,8.025393
3.0,6,8.137394
4.0,5,8.234396
-6.0,5,8.311459
-4.0,8,8.427397
5.0,6,8.543393
2.0,6,8.649395
-3.0,6,8.796397
-5.0,6,8.889702
2.0,5,9.112703
1.0,5,9.208709
-5.0,5,9.313702
2.0,7,9.5198
-7.0,5,9.664798
2.0,5,9.741796
-2.0,5,9.818796
0.0,5,9.90432
14.0,6,10.01331
9.0,7,10.159312
-13.0,8,10.34255
-1.0,6,10.505551
-1.0,8,10.664548
-1.0,5,10.747549
5.0,10,10.925815
8.0,6,11.022817
-11.0,6,11.143817
-1.0,7,11.264816
3.0,5,11.335815
5.0,6,11.433814
5.0,6,11.534815
3.0,6,11.634532
-4.0,6,11.72653
4.0,7,11.81659
3.0,7,11.912726
-1.0,6,12.017707
4.0,5,12.078707
4.0,6,12.174707
7.0,6,12.287771
2.0,6,12.37671
-1.0,9,12.590715
3.0,5,12.674707
3.0,8,12.807709
-5.0,5,12.873211
-8.0,6,12.974479
7.0,8,13.108469
14.0,6,13.200473
0.0,5,13.276471
-6.0,6,13.386472
-5.0,7,13.491471
7.0,5,13.561474
-16.0,5,13.655471
-11.0,6,13.770474
-4.0,8,13.903979
6.0,5,13.997977
12.0,6,14.091981
-1.0,6,14.172978
4.0,7,14.288023
-9.0,5,14.358188
-7.0,7,14.527187
-4.0,5,14.613191
-27.0,7,14.735195
-1.0,5,14.798191
-3.0,6,14.875752
-1.0,5,14.960261
4.0,6,15.111259
15.0,5,15.194326
8.0,8,15.368333
6.0,6,15.458405
-5.0,6,15.553334
11.0,6,15.673394
-6.0,5,15.759524
-9.0,6,15.85719
2.0,5,15.935925
-6.0,8,16.128862
-2.0,5,16.19686
-6.0,5,16.273866
-5.0,5,16.360861
-3.0,5,16.435862
0.0,7,16.545862
10.0,8,16.651862
-5.0,9,16.78786
4.0,6,16.867858
-3.0,6,16.966365
-2.0,7,17.075762
0.0,5,17.154752
-15.0,7,17.256756
-11.0,7,17.606862
2.0,8,17.725857
-3.0,5,18.468887
9.0,8,18.565887
2.0,6,18.65289
