#{"t_start": 1732804559.5346668, "env_id": "sokoban-wide-v0"}
r,l,t
-6.0,5,1.158294
6.0,5,1.230366
-12.0,7,1.338294
-4.0,6,1.441293
1.0,5,1.506292
0.0,7,1.622698
0.0,7,1.732624
-5.0,5,1.864911
-2.0,6,1.940913
-6.0,7,2.032916
-6.0,5,2.091526
-1.0,5,2.18446
-5.0,6,2.25746
-1.0,5,2.33346
5.0,5,2.427459
3.0,7,2.532526
-7.0,5,2.631459
-3.0,5,2.702461
1.0,6,2.784459
2.0,5,2.852942
-6.0,5,2.920942
-9.0,7,3.020939
-2.0,7,3.118428
4.0,6,3.232424
4.0,7,3.318424
-13.0,7,3.407017
5.0,10,3.546571
0.0,7,3.675562
6.0,5,3.740569
7.0,5,4.239567
-19.0,6,4.329691
-2.0,6,4.412691
-6.0,6,4.49069
4.0,6,4.60169
-5.0,6,4.688691
-4.0,6,4.770704
-8.0,7,4.846198
-4.0,5,4.916206
-2.0,5,4.972198
-3.0,6,5.049198
-2.0,5,5.117198
-4.0,5,5.169198
10.0,5,5.248276
-5.0,5,5.314232
-1.0,6,5.400232
8.0,10,5.60123
-1.0,6,5.672232
-16.0,5,5.739232
4.0,6,5.804232
-17.0,5,5.883739
-2.0,8,5.97474
3.0,5,6.04274
-1.0,7,6.164911
10.0,5,6.230912
0.0,5,6.29691
2.0,5,6.360922
-2.0,6,6.431993
6.0,6,6.506914
-8.0,5,6.626912
14.0,9,6.728912
0.0,6,6.790911
1.0,6,6.891418
-8.0,5,6.958418
2.0,12,7.093419
6.0,6,7.185418
3.0,5,7.30742
10.0,5,7.426418
-1.0,6,7.533873
1.0,5,7.611871
-2.0,5,7.695876
-9.0,7,7.857391
1.0,5,7.941387
-9.0,7,8.057389
-1.0,8,8.204388
-7.0,6,8.303385
-1.0,6,8.387389
5.0,7,8.513386
-4.0,5,8.599388
10.0,6,8.741387
-1.0,7,8.870694
6.0,6,9.105696
-2.0,7,9.256702
3.0,6,9.341697
-2.0,5,9.535798
5.0,5,9.672788
-6.0,6,9.759789
-6.0,5,9.844302
8.0,7,9.9613
-4.0,5,10.054299
-4.0,5,10.179301
-7.0,5,10.264607
0.0,8,10.497543
-3.0,6,10.606541
-7.0,6,10.725541
-5.0,8,10.871063
0.0,7,10.981806
2.0,9,11.162803
-5.0,8,11.281806
-14.0,7,11.399806
9.0,7,11.512805
15.0,6,11.609522
-3.0,6,11.70652
1.0,6,11.776523
