#{"t_start": 1732804559.5706568, "env_id": "sokoban-wide-v0"}
r,l,t
-1.0,7,1.160378
-4.0,8,1.272302
3.0,5,1.370305
-3.0,6,1.449302
-7.0,6,1.550302
6.0,6,1.648636
-7.0,5,1.779921
-11.0,5,1.849921
1.0,6,1.920922
11.0,6,2.000925
-7.0,6,2.072472
-5.0,6,2.17054
-6.0,5,2.248469
7.0,7,2.374469
2.0,6,2.456469
-10.0,7,2.589469
-2.0,7,2.686471
4.0,5,2.757537
-5.0,5,2.821952
4.0,6,2.90002
-9.0,6,2.990949
-10.0,6,3.076436
-5.0,7,3.204434
5.0,6,3.277434
-15.0,7,3.360434
15.0,5,3.434571
-11.0,6,3.51857
-8.0,8,3.664637
-5.0,7,4.182585
-10.0,6,4.2637
-1.0,7,4.3717
1.0,8,4.473698
-1.0,5,4.571699
3.0,5,4.6467
0.0,6,4.729711
-6.0,7,4.805207
-4.0,7,4.89921
-5.0,6,4.971209
2.0,7,5.063207
-5.0,7,5.138207
12.0,7,5.251212
17.0,6,5.323241
-7.0,5,5.41324
-4.0,6,5.547247
0.0,8,5.639242
4.0,6,5.71825
-7.0,7,5.80675
4.0,8,5.91075
1.0,6,5.982749
-5.0,5,6.073751
-10.0,8,6.182927
16.0,7,6.287
-2.0,6,6.348922
-2.0,5,6.409922
9.0,9,6.584922
-4.0,7,6.665922
4.0,6,6.727923
-8.0,5,6.790921
-1.0,6,6.888428
2.0,11,7.010429
3.0,6,7.088428
17.0,6,7.231428
-1.0,5,7.336428
-6.0,8,7.487881
1.0,7,7.600887
5.0,6,7.720885
9.0,6,7.843401
-9.0,8,7.974396
-1.0,5,8.067396
4.0,6,8.180399
-4.0,9,8.312396
-6.0,7,8.444396
5.0,5,8.527401
11.0,6,8.637397
-2.0,5,8.768396
7.0,6,8.851703
12.0,6,9.111704
9.0,5,9.211712
-2.0,5,9.285706
1.0,7,9.509801
8.0,6,9.659798
-5.0,5,9.731798
5.0,5,9.819312
1.0,7,9.938309
-12.0,6,10.045312
-2.0,7,10.206636
5.0,5,10.349557
-8.0,7,10.501553
-11.0,5,10.609552
4.0,5,10.696551
0.0,6,10.804555
12.0,6,10.908833
-14.0,5,10.992815
0.0,8,11.143814
-3.0,6,11.237815
-1.0,7,11.353816
3.0,6,11.456816
-3.0,5,11.538815
6.0,6,11.624531
3.0,6,11.711532
-12.0,5,11.783533
3.0,5,11.846712
-3.0,5,11.937711
7.0,9,12.060712
-7.0,7,12.173709
5.0,5,12.263711
6.0,6,12.35571
-11.0,6,12.526718
9.0,7,12.638709
10.0,5,12.732711
2.0,7,12.822214
2.0,6,12.922493
-14.0,9,13.069473
-4.0,7,13.184473
-5.0,7,13.300473
17.0,8,13.430474
0.0,7,13.529474
4.0,5,13.619472
2.0,6,13.737473
-1.0,5,13.822472
7.0,5,13.895979
13.0,7,14.028981
-9.0,6,14.110979
-3.0,6,14.197488
-5.0,6,14.294189
6.0,7,14.453189
0.0,6,14.563191
-12.0,8,14.6962
0.0,8,14.794191
3.0,7,14.897263
4.0,7,15.074265
-3.0,6,15.173261
3.0,7,15.328336
0.0,6,15.420403
3.0,5,15.500338
0.0,5,15.594334
0.0,7,15.719527
-15.0,7,15.833355
-4.0,7,15.978861
1.0,7,16.119862
-6.0,5,16.198865
-12.0,7,16.307863
7.0,6,16.399862
-7.0,6,16.493864
-9.0,5,16.563862
-4.0,7,16.652863
14.0,5,16.735861
4.0,5,16.805861
-1.0,7,16.914366
15.0,5,16.999368
-12.0,6,17.082753
-3.0,6,17.172754
4.0,5,17.249754
-9.0,5,17.56886
-12.0,7,17.674858
-7.0,6,18.431889
7.0,6,18.504889
-9.0,5,18.565893
9.0,5,18.643897
-8.0,6,18.74789
4.0,9,19.326784
-6.0,6,19.412785
-5.0,9,19.528782
7.0,6,19.618782
-1.0,6,19.723847
1.0,5,19.808209
5.0,6,19.920714
0.0,6,20.022717
