#{"t_start": 1732804559.5606663, "env_id": "sokoban-wide-v0"}
r,l,t
-6.0,7,1.169377
-5.0,5,1.242293
-18.0,7,1.356294
0.0,7,1.457294
4.0,6,1.558293
7.0,5,1.641623
4.0,7,1.805913
-1.0,5,1.86998
9.0,5,1.928912
7.0,5,1.999917
2.0,9,2.130462
-2.0,7,2.212462
5.0,5,2.29746
0.0,9,2.452459
11.0,5,2.544459
-1.0,5,2.631461
0.0,7,2.721459
6.0,6,2.805943
0.0,6,2.887941
-9.0,6,2.97494
5.0,5,3.03494
-2.0,5,3.104517
4.0,7,3.238424
8.0,6,3.308425
14.0,6,3.384028
-1.0,6,3.47056
-2.0,10,3.633562
4.0,5,3.70857
-2.0,5,4.204569
1.0,9,4.34969
1.0,9,4.45569
-4.0,6,4.556689
-3.0,6,4.654691
5.0,6,4.733689
10.0,8,4.825197
-4.0,5,4.8972
3.0,6,4.9642
3.0,5,5.027199
12.0,5,5.099197
1.0,7,5.184207
-7.0,5,5.258197
14.0,6,5.330231
19.0,5,5.404232
1.0,5,5.542235
-4.0,6,5.612232
6.0,5,5.679232
-8.0,7,5.761233
4.0,6,5.83174
8.0,7,5.92974
-2.0,7,6.025742
3.0,6,6.12591
-7.0,6,6.208913
4.0,6,6.291911
2.0,5,6.346912
34.0,4,6.399989
-7.0,8,6.531911
7.0,6,6.626912
-6.0,5,6.687912
-6.0,6,6.745915
2.0,5,6.81542
2.0,5,6.896418
-7.0,6,6.964421
-2.0,5,7.01842
10.0,7,7.112418
6.0,5,7.238419
-7.0,6,7.368421
19.0,4,7.436419
-3.0,9,7.591872
-12.0,7,7.728874
-6.0,6,7.84939
8.0,9,7.996387
-1.0,6,8.107386
2.0,7,8.232459
-10.0,8,8.350386
1.0,6,8.464386
13.0,6,8.561388
0.0,6,8.69739
-6.0,5,8.801386
-16.0,8,9.067696
-4.0,7,9.191695
-1.0,7,9.354706
-13.0,7,9.593786
-4.0,8,9.725789
5.0,6,9.827303
-14.0,6,9.9273
-1.0,5,10.0173
-10.0,7,10.175302
1.0,5,10.299542
4.0,7,10.477543
2.0,7,10.614541
-2.0,7,10.738542
-3.0,9,10.896817
4.0,6,10.999808
11.0,6,11.115805
2.0,5,11.207807
-10.0,6,11.292807
9.0,5,11.377807
-13.0,5,11.461805
7.0,5,11.546806
-7.0,6,11.631523
-5.0,5,11.707522
5.0,7,11.80563
5.0,8,11.907705
6.0,6,12.014699
1.0,5,12.090707
-10.0,7,12.197703
7.0,6,12.304765
5.0,7,12.401705
-6.0,5,12.560705
-5.0,5,12.6457
5.0,5,12.740705
6.0,6,12.8207
-2.0,6,12.908204
1.0,5,12.996462
-9.0,5,13.077463
-6.0,6,13.171464
14.0,5,13.256463
