#{"t_start": 1732735266.982997, "env_id": "sokoban-wide-v0"}
r,l,t
-7.0,9,1.050211
-1.0,5,1.061211
-19.0,6,1.073212
12.0,7,1.08621
5.0,5,1.097211
7.0,5,1.10721
0.0,8,1.125211
10.0,7,1.14021
-11.0,6,1.15221
1.0,5,1.16121
6.0,6,1.17221
-10.0,7,1.184212
-5.0,7,1.197211
17.0,8,1.211211
-3.0,8,1.22621
-5.0,7,1.238208
7.0,5,1.245208
-7.0,6,1.256209
12.0,5,1.26421
-11.0,8,1.277208
0.0,5,1.286745
4.0,5,1.297269
2.0,5,1.305267
3.0,6,1.316269
-10.0,5,1.324266
0.0,5,1.333276
-14.0,6,1.343267
0.0,8,1.355266
-14.0,7,1.366266
0.0,6,1.376276
-2.0,8,1.390267
1.0,6,1.400266
6.0,7,1.410265
-3.0,6,1.420267
5.0,6,1.430266
2.0,5,1.439266
10.0,5,1.447268
-1.0,6,1.456268
15.0,7,1.467266
11.0,7,1.479267
2.0,5,1.488267
-1.0,8,1.501265
2.0,5,1.510268
-1.0,5,1.519271
-15.0,5,1.526271
-3.0,6,1.535275
-11.0,6,1.545267
0.0,6,1.555265
-2.0,6,1.566268
-15.0,7,1.577267
-7.0,6,1.586266
2.0,5,1.5938
15.0,6,1.602797
2.0,6,1.612799
-2.0,7,1.6598
-6.0,5,1.668812
-2.0,5,1.680797
-1.0,5,1.690797
6.0,5,1.700797
-2.0,6,1.712797
5.0,5,1.7208
-8.0,7,1.734798
-5.0,6,1.746798
1.0,6,1.756798
-5.0,6,1.765797
-1.0,7,1.777798
10.0,9,1.793797
-8.0,5,1.802797
2.0,5,1.810797
-1.0,5,1.8188
3.0,8,1.832798
-6.0,7,1.844797
-2.0,6,1.860797
5.0,7,1.872797
-5.0,6,1.882796
4.0,7,1.8948
-4.0,5,1.903799
12.0,5,1.912798
10.0,5,1.920797
-3.0,7,1.930798
-6.0,6,1.940799
-3.0,5,1.948798
18.0,5,1.957799
4.0,8,1.969796
10.0,5,1.977797
-1.0,6,1.984797
5.0,6,1.992797
-12.0,5,2.000798
0.0,5,2.008812
3.0,5,2.016797
0.0,5,2.024814
-3.0,6,2.033805
3.0,5,2.041801
1.0,9,2.056799
-2.0,7,2.066798
-2.0,5,2.074798
-12.0,7,2.084798
2.0,5,2.092798
1.0,6,2.101798
-1.0,5,2.1078
0.0,5,2.113799
-8.0,5,2.1208
11.0,6,2.130798
5.0,6,2.139809
4.0,7,2.149809
-16.0,8,2.159798
11.0,8,2.1698
14.0,5,2.176799
-1.0,6,2.183799
4.0,7,2.192803
5.0,6,2.200798
0.0,6,2.207796
-2.0,5,2.214797
8.0,5,2.220799
-4.0,7,2.229799
5.0,6,2.238798
1.0,8,2.251797
-5.0,6,2.260797
-2.0,6,2.269796
1.0,9,2.282799
-8.0,6,2.291799
-7.0,6,2.301797
-9.0,6,2.310796
7.0,5,2.318796
9.0,5,2.324796
0.0,5,2.332797
-1.0,6,2.341796
-3.0,6,2.350796
3.0,6,2.359799
-7.0,6,2.368798
-7.0,7,2.378796
-14.0,5,2.386797
-5.0,7,2.397796
2.0,7,2.408799
-6.0,6,2.418797
5.0,8,2.429797
6.0,5,2.435796
-2.0,9,2.448798
-8.0,6,2.496798
-19.0,8,2.508798
-8.0,10,2.522797
-9.0,7,2.531796
9.0,5,2.538796
15.0,6,2.546797
19.0,6,2.553797
-9.0,7,2.563797
-8.0,7,2.573797
3.0,5,2.581797
-7.0,5,2.589798
-2.0,7,2.601002
4.0,6,2.610002
-2.0,8,2.622003
-6.0,6,2.632003
0.0,5,2.640003
-10.0,6,2.649005
3.0,6,2.658004
4.0,5,2.666011
2.0,7,2.677015
2.0,7,2.687014
1.0,7,2.698004
10.0,7,2.708002
-2.0,7,2.732005
-3.0,5,2.780353
-11.0,6,2.790405
-1.0,5,2.79834
0.0,9,2.837337
10.0,9,2.851336
2.0,6,2.860338
20.0,6,2.869341
-7.0,8,2.882338
4.0,5,2.889342
-3.0,8,2.901352
-6.0,7,2.911346
0.0,6,2.920337
-8.0,6,2.929336
-16.0,6,2.937338
0.0,6,2.944339
-9.0,7,2.955338
16.0,9,2.974337
-2.0,5,2.982339
-2.0,9,2.995339
-10.0,7,3.00535
7.0,7,3.01534
-1.0,8,3.025339
5.0,5,3.03234
-5.0,6,3.041339
7.0,5,3.049343
-7.0,5,3.055342
7.0,7,3.065339
7.0,6,3.074339
7.0,5,3.081336
8.0,7,3.093343
4.0,7,3.102344
12.0,7,3.111337
-7.0,5,3.117337
7.0,7,3.127337
-13.0,5,3.135337
-2.0,8,3.147338
-11.0,7,3.157337
-4.0,6,3.166337
6.0,5,3.174337
10.0,8,3.184337
-11.0,5,3.191349
-13.0,7,3.209339
13.0,5,3.21634
-6.0,7,3.22635
7.0,7,3.236339
-5.0,5,3.243337
2.0,5,3.249337
-3.0,5,3.256337
10.0,6,3.265337
9.0,5,3.272337
5.0,11,3.28734
-7.0,6,3.295339
-5.0,8,3.305336
-7.0,6,3.314336
1.0,5,3.322339
17.0,6,3.33234
22.0,7,3.346343
3.0,6,3.356339
-10.0,7,3.368338
-3.0,6,3.380338
-3.0,7,3.393339
8.0,6,3.40435
-15.0,7,3.417339
-2.0,5,3.425337
1.0,9,3.44334
-14.0,5,3.45134
7.0,7,3.480338
0.0,7,3.49134
1.0,7,3.504339
2.0,7,3.513342
3.0,5,3.520341
-2.0,7,3.529342
-6.0,5,3.536342
5.0,9,3.575338
15.0,7,3.586336
-7.0,6,3.597107
-1.0,9,3.610615
3.0,5,3.618626
-8.0,7,3.627625
3.0,6,3.635626
5.0,6,3.644624
5.0,6,3.653615
6.0,5,3.660615
10.0,5,3.671615
-10.0,6,3.690617
6.0,7,3.699615
11.0,5,3.705616
