#{"t_start": 1733986039.2831964, "env_id": "None"}
r,l,t
34.5,12,3.257957
34.5,12,3.257957
19.0,14,3.406796
22.5,15,3.535993
8.5,15,3.535993
4.5,15,3.535993
3.0,16,3.651248
24.0,16,3.651248
5.0,16,3.651248
18.5,17,5.728936
3.5,17,5.728936
-9.0,18,5.891724
23.0,18,5.891724
9.5,19,9.254294
0.5,19,9.254294
39.5,21,9.390489
13.5,21,9.390489
32.5,21,9.390489
7.5,21,9.390489
5.0,22,9.431029
-6.0,24,9.499782
20.5,25,9.539187
-7.0,26,9.577108
4.5,15,9.6069
15.5,13,9.671095
24.5,13,9.672089
6.5,29,9.672089
21.5,15,9.699803
-0.5,13,9.699803
8.5,31,9.725074
25.0,18,10.391725
12.5,15,10.391725
49.0,16,12.908323
7.0,18,12.908323
-1.5,27,13.467021
14.5,19,13.661841
10.5,25,13.661841
8.0,16,13.661841
-20.0,26,13.672818
12.5,23,13.863905
2.5,25,13.863905
4.5,21,13.969922
38.5,13,13.969922
37.0,17,13.969922
29.0,13,14.085266
29.0,17,14.085266
22.5,23,14.102328
12.0,16,14.128733
2.5,17,14.128733
-2.0,28,14.274147
-3.0,16,14.274147
16.5,27,14.409302
10.0,18,14.603803
10.5,13,14.81635
-8.0,36,14.81635
0.0,20,14.81635
10.5,27,15.00508
2.0,26,15.108731
7.0,14,15.202047
16.0,16,15.202047
19.5,17,15.301961
14.5,21,15.412171
6.5,15,15.412171
28.0,20,15.667683
19.0,12,15.667683
16.5,17,15.667683
1.0,18,15.667683
12.0,18,15.781865
-1.0,20,15.781865
18.0,20,16.057587
5.5,17,16.057587
7.0,18,16.125218
24.0,6,16.93821
3.0,22,16.93821
12.0,18,17.719145
-5.0,30,17.719145
52.5,8,19.107217
7.0,22,19.108214
4.0,18,19.171161
-11.5,23,19.248028
19.0,14,19.248028
23.5,19,20.754237
4.0,18,21.744815
3.5,15,21.74582
13.5,17,21.802247
17.0,20,21.802247
17.5,17,21.847523
7.5,15,21.89887
-1.0,24,21.936747
8.5,17,21.936747
6.0,18,21.936747
5.5,25,21.969652
6.5,23,22.121652
-3.5,21,22.187559
18.5,15,22.187559
14.5,19,22.187559
5.0,24,22.695095
18.0,20,22.899688
31.5,12,23.028057
11.5,19,23.320043
6.5,17,23.320043
34.5,16,23.320043
28.0,14,23.320043
10.0,12,23.712447
16.0,20,23.712447
7.0,18,23.712447
7.5,17,24.133416
-1.0,24,24.304217
4.0,20,24.406001
15.0,14,24.406001
-3.5,29,24.78666
7.5,17,24.974939
3.5,13,25.512027
34.5,19,25.512027
-1.5,21,25.512027
25.5,23,25.556361
25.0,20,26.041552
9.5,15,26.041552
11.0,24,26.350917
26.0,22,26.489124
22.5,25,26.489124
4.5,17,26.809165
14.5,15,26.809165
3.0,16,27.076201
9.0,18,27.076201
-2.5,17,27.587277
-1.5,25,27.587277
6.0,20,27.607351
8.5,23,30.819711
21.0,12,30.819711
8.5,25,30.819711
10.0,14,31.617135
-2.5,19,31.671356
19.0,18,31.699066
1.0,46,33.463372
-7.0,20,33.463372
19.5,19,33.830605
11.5,15,34.203443
9.0,14,34.203443
18.5,13,35.094806
9.0,24,35.499357
13.0,16,39.001832
11.0,22,39.001832
36.5,15,42.658124
31.0,17,44.602152
43.0,14,47.848832
3.0,22,47.95878
9.0,24,47.959772
-4.5,29,48.026759
18.0,20,48.026759
27.0,16,48.026759
13.5,36,49.072172
9.0,14,49.072172
37.5,22,49.16335
11.5,19,49.16335
4.5,19,49.223536
20.0,14,49.223536
20.5,6,49.964859
2.0,20,49.964859
19.5,19,49.964859
1.5,17,49.964859
6.5,19,53.327051
-8.5,29,53.327051
18.5,17,53.357353
21.0,2,53.38596
14.5,15,57.408175
2.0,22,57.427052
12.5,21,57.576055
41.5,15,57.576055
18.0,16,58.787085
28.5,17,58.787085
2.0,20,58.787085
11.0,14,59.795882
8.5,23,59.795882
0.5,15,59.929108
2.0,38,59.929108
1.0,26,60.199059
6.5,13,60.364011
15.5,17,60.460018
10.0,20,60.460018
3.0,18,60.527884
4.5,17,60.741806
3.5,15,60.741806
11.0,18,60.817242
9.0,18,60.950861
24.5,15,61.082141
11.5,17,61.082141
25.0,2,61.29028
30.0,24,61.291281
11.5,15,61.44199
43.0,17,61.44199
0.0,26,61.541422
-1.0,14,61.58572
-10.0,30,61.729328
29.0,20,61.729328
3.5,17,61.729328
14.5,21,62.002469
10.0,36,62.002469
19.5,21,62.002469
6.5,17,62.04495
13.0,14,62.04495
18.0,14,62.073017
12.0,14,62.165096
-2.0,22,62.261384
14.0,18,62.28814
30.0,14,62.373742
23.5,25,62.373742
9.5,23,62.432536
10.5,31,62.432536
-3.5,27,62.432536
26.0,10,62.611347
5.5,19,67.615222
4.0,34,70.07876
7.5,15,70.07876
7.5,17,70.07876
4.5,25,78.570884
2.5,21,84.23103
28.5,13,84.285951
-2.0,34,84.339729
-1.5,21,84.339729
8.5,19,84.339729
-4.5,17,84.339729
38.5,15,85.235656
42.5,15,85.423153
2.5,27,85.757795
22.0,12,86.158039
5.5,19,86.746153
3.5,29,86.746153
19.0,26,87.127083
16.5,21,87.127083
5.5,29,87.127083
4.0,28,88.033873
-1.0,22,88.033873
10.0,18,90.177005
1.0,24,90.177283
9.5,19,91.05239
4.0,30,91.998413
13.0,18,92.429767
56.5,17,100.296046
14.0,22,102.607709
-0.5,27,102.607709
-0.5,25,104.878312
28.5,20,107.063894
-1.0,20,107.063894
-2.0,18,107.063894
-2.0,22,107.063894
13.0,20,107.063894
-8.5,41,111.458598
14.5,17,120.898262
0.5,21,120.898262
6.5,25,125.345084
15.0,18,125.345084
7.0,20,125.379283
2.5,25,125.457339
8.5,21,125.457339
9.0,18,125.457339
2.0,22,125.528367
17.5,17,125.567126
-3.5,21,125.567126
18.5,15,125.635835
18.0,20,125.635835
12.0,18,125.635835
17.0,16,126.165935
20.5,15,126.165935
11.0,16,126.392999
3.5,13,126.749657
7.0,26,126.749657
11.0,20,126.807507
-1.5,31,127.163741
0.5,23,127.163741
-3.5,23,127.163741
5.5,25,127.163741
18.5,13,127.301157
17.0,16,127.301157
36.5,13,127.456686
22.0,16,127.457766
-3.0,22,127.527026
12.5,17,127.577025
21.5,21,127.577025
-1.5,23,127.598286
-2.0,32,127.598286
15.0,18,127.802155
-3.5,23,127.802155
17.0,12,127.831105
15.5,21,127.916434
-8.5,29,127.933067
1.5,27,127.933067
10.5,17,127.933067
4.5,19,127.933067
2.5,21,128.377993
8.0,12,128.377993
25.5,35,128.40676
16.0,14,128.40676
2.5,21,128.850117
13.5,27,129.22189
13.0,20,129.335906
6.5,19,129.335906
9.0,20,129.335906
15.5,17,129.335906
5.5,17,129.510717
13.0,18,129.510717
22.5,17,129.510717
6.0,16,131.037786
2.5,23,131.57701
5.5,15,132.072299
22.5,19,132.073293
4.0,22,135.543407
5.0,22,135.543407
17.5,15,137.461786
20.5,17,137.461786
2.0,30,138.241781
26.0,22,138.241781
5.5,19,140.535032
9.0,20,140.535032
17.0,18,143.412941
4.0,22,143.412941
24.5,21,143.412941
4.0,22,143.717775
27.0,16,143.785012
39.5,16,143.785012
41.5,18,144.100922
7.5,15,148.923755
2.0,20,148.923755
16.0,12,148.923755
22.0,12,149.055829
10.5,19,149.055829
31.5,13,149.055829
-12.5,21,149.055829
15.5,15,149.124912
7.0,28,149.124912
20.0,14,149.195717
27.0,4,149.32268
34.0,21,157.164438
10.0,26,157.164946
5.0,14,157.75524
0.0,28,157.75524
28.5,8,157.75524
0.0,24,157.75524
9.5,17,160.99315
7.0,18,160.99315
4.5,23,162.283921
6.0,14,163.757295
3.5,25,163.757295
18.5,15,163.757295
15.0,26,166.225828
3.5,17,169.104162
5.5,27,170.525907
8.5,19,172.08142
9.0,16,172.08142
11.0,24,172.12493
-4.5,27,172.12493
7.5,25,172.12493
36.5,6,172.12493
12.5,21,172.401171
-14.5,29,172.551237
2.0,24,172.819062
1.5,15,172.819062
16.0,18,173.922689
11.5,15,174.470918
9.0,16,175.020973
2.5,27,175.376055
33.5,21,175.376055
-2.5,21,175.685656
