#{"t_start": 1732746694.4154086, "env_id": "sokoban-narrow-v0"}
r,l,t
-6.0,6,1.03555
4.0,10,1.218754
0.0,6,1.407989
11.0,7,1.417557
-10.0,9,1.477252
7.0,6,1.53263
-6.0,7,1.583175
1.0,6,1.59082
-6.0,7,1.651614
3.0,11,1.704329
-6.0,7,1.765707
-5.0,5,1.773541
2.0,5,1.82603
-7.0,7,1.836362
4.0,5,1.888159
3.0,7,1.94558
11.0,6,1.955334
0.0,10,2.003797
4.0,8,2.067668
-11.0,5,2.080362
-18.0,10,2.139308
-11.0,6,2.18981
-7.0,7,2.24478
-4.0,7,2.253436
-1.0,5,2.30102
8.0,10,2.368211
2.0,8,2.422255
12.0,10,2.48177
-7.0,8,2.544421
6.0,6,2.549506
5.0,6,2.602031
-5.0,5,2.604097
4.0,6,2.668562
1.0,8,2.7134
-3.0,5,2.730954
-1.0,6,2.779769
-7.0,8,2.840303
9.0,11,2.89889
-8.0,5,2.906114
-4.0,6,2.961511
-5.0,13,3.022713
-7.0,6,3.070664
2.0,7,3.086296
-1.0,6,3.137298
-9.0,5,3.137298
1.0,12,3.246416
9.0,9,3.309986
1.0,6,3.318881
2.0,10,3.373564
-7.0,6,3.425171
15.0,5,3.428087
2.0,7,3.480758
-7.0,7,3.525048
-5.0,8,3.525048
13.0,8,3.591913
0.0,11,3.64019
0.0,8,3.710907
5.0,7,3.761494
-2.0,7,3.81037
3.0,7,3.81037
-6.0,10,3.881459
-7.0,7,3.941458
-1.0,7,3.992759
-9.0,9,4.046339
-12.0,11,4.110626
4.0,11,4.179649
0.0,7,4.179649
8.0,6,4.235411
9.0,6,4.288637
1.0,6,4.288637
7.0,6,4.34935
3.0,9,4.403897
11.0,6,4.403897
-2.0,7,4.452269
-3.0,5,4.513165
-8.0,7,4.513165
1.0,10,4.573458
-6.0,7,4.622218
-2.0,9,4.682668
3.0,13,4.756164
-4.0,10,4.804009
12.0,6,4.861543
-11.0,11,4.920056
6.0,7,4.974045
1.0,5,4.97416
-2.0,10,5.036121
4.0,9,5.08265
-25.0,8,5.149289
3.0,6,5.149289
-9.0,8,5.197823
15.0,6,5.263584
-15.0,8,5.31596
-3.0,11,5.372468
-5.0,7,5.373508
4.0,6,5.421963
-5.0,9,5.482757
2.0,9,5.536945
-18.0,9,5.600824
-9.0,11,5.646472
-7.0,14,5.712898
7.0,7,5.755037
5.0,8,5.827999
2.0,5,5.827999
-10.0,5,5.877448
-6.0,9,5.938223
11.0,9,5.943274
-10.0,7,6.001455
0.0,9,6.052352
6.0,9,6.105649
1.0,9,6.16544
-4.0,10,6.215997
20.0,9,6.270556
1.0,7,6.309091
-9.0,10,6.355057
1.0,8,6.415936
-15.0,6,6.473007
-3.0,9,6.525114
-4.0,9,6.57834
-4.0,8,6.588286
-13.0,6,6.631263
14.0,12,6.688581
-3.0,8,6.743249
-2.0,5,6.793649
-2.0,7,6.797729
-7.0,6,6.850154
-3.0,6,6.852153
10.0,5,6.90603
5.0,5,6.908584
-7.0,7,6.96152
-5.0,11,7.015947
-1.0,12,7.122917
6.0,7,7.187314
-5.0,5,7.237876
-14.0,6,7.246159
-7.0,8,7.301528
9.0,6,7.343229
