#{"t_start": 1732804559.563656, "env_id": "sokoban-wide-v0"}
r,l,t
-6.0,5,1.135305
8.0,6,1.221304
3.0,5,1.297304
4.0,6,1.405303
-12.0,5,1.468303
-10.0,6,1.569404
-4.0,9,1.706635
1.0,6,1.855922
-4.0,6,1.926923
0.0,7,2.029479
8.0,7,2.129474
2.0,6,2.201473
9.0,7,2.30848
5.0,6,2.419469
9.0,6,2.519473
-3.0,5,2.61047
5.0,6,2.692472
0.0,9,2.81703
0.0,5,2.88595
-4.0,6,2.972951
-4.0,5,3.03295
0.0,7,3.150437
12.0,6,3.245436
-8.0,5,3.307435
4.0,7,3.399572
-5.0,6,3.48257
3.0,7,3.585584
14.0,5,3.685654
-7.0,5,3.75457
-14.0,5,4.234578
-3.0,5,4.335698
8.0,7,4.416701
5.0,8,4.5387
0.0,6,4.6307
15.0,7,4.735712
3.0,6,4.800208
-1.0,6,4.878216
-6.0,5,4.937209
-8.0,7,5.025209
-2.0,7,5.115208
-2.0,6,5.192208
8.0,5,5.26824
-6.0,5,5.328242
0.0,7,5.461241
-1.0,8,5.598245
-11.0,9,5.714242
-3.0,5,5.768242
4.0,5,5.829751
-7.0,5,5.904751
-1.0,6,5.97775
-10.0,8,6.11041
-8.0,5,6.179922
-8.0,6,6.25992
5.0,7,6.344922
4.0,6,6.414922
-9.0,6,6.529921
23.0,7,6.638922
5.0,6,6.704922
-1.0,6,6.765922
1.0,7,6.880429
6.0,7,6.962434
-11.0,12,7.110429
-11.0,6,7.256429
-9.0,5,7.37143
0.0,5,7.457433
1.0,6,7.552893
-3.0,5,7.636889
-1.0,6,7.773889
8.0,6,7.880402
-2.0,6,7.979396
0.0,8,8.120397
-12.0,5,8.218399
8.0,7,8.317396
-1.0,7,8.449396
2.0,8,8.5754
-11.0,7,8.747399
-5.0,11,9.065706
-4.0,6,9.174705
7.0,7,9.306706
-6.0,6,9.5148
-1.0,8,9.695798
17.0,7,9.80875
-12.0,6,9.901313
0.0,6,10.01531
-3.0,6,10.157312
-5.0,7,10.317552
-12.0,6,10.475554
5.0,5,10.569551
-6.0,6,10.687551
2.0,5,10.775553
-3.0,6,10.874818
2.0,7,10.997829
-6.0,6,11.121814
-6.0,6,11.218817
7.0,5,11.290817
-3.0,6,11.387817
1.0,9,11.544816
14.0,7,11.656531
0.0,6,11.728532
14.0,5,11.804597
-2.0,5,11.866713
-9.0,9,12.011709
-7.0,5,12.088722
-5.0,6,12.179709
-8.0,6,12.286711
16.0,13,12.558715
-2.0,6,12.67371
-6.0,9,12.79871
0.0,6,12.876216
-17.0,5,12.982472
-6.0,5,13.059473
4.0,6,13.153475
12.0,7,13.277472
-4.0,5,13.364473
12.0,5,13.435474
6.0,5,13.504474
-1.0,7,13.622473
-1.0,5,13.723474
1.0,6,13.827758
-19.0,9,13.982978
0.0,5,14.058982
7.0,7,14.154981
-13.0,5,14.24002
18.0,8,14.374191
-7.0,5,14.50019
4.0,7,14.625191
-7.0,8,14.73819
-9.0,7,14.829191
4.0,6,14.935263
-1.0,6,15.079266
6.0,6,15.179261
0.0,5,15.282257
11.0,6,15.400402
-3.0,5,15.465397
-7.0,5,15.564335
4.0,6,15.676522
6.0,9,15.826524
-19.0,7,15.970864
5.0,8,16.124862
0.0,6,16.216866
3.0,6,16.307862
6.0,5,16.389864
-10.0,5,16.474862
-6.0,7,16.568863
-1.0,5,16.633924
4.0,7,16.741862
1.0,5,16.810862
-7.0,5,16.890378
4.0,6,16.990369
-2.0,6,17.071757
3.0,5,17.154754
14.0,9,17.505858
0.0,5,17.605857
8.0,7,18.392891
-2.0,6,18.46089
-15.0,6,18.53589
1.0,6,18.623893
-1.0,5,18.69689
2.0,8,19.284783
12.0,5,19.343783
-8.0,6,19.433785
5.0,5,19.489785
5.0,6,19.581783
1.0,5,19.662791
-4.0,5,19.755219
1.0,5,19.827209
3.0,5,19.917715
-3.0,8,20.083722
6.0,5,20.171717
9.0,6,20.289717
3.0,6,20.414856
-2.0,5,20.586846
-2.0,7,20.713849
2.0,6,20.821849
16.0,8,20.955364
-2.0,6,21.070364
6.0,6,21.191512
2.0,5,21.282515
-4.0,7,21.384514
-3.0,8,21.559513
3.0,5,21.650513
-5.0,7,21.775514
-11.0,10,21.933019
10.0,7,22.032022
2.0,6,22.123025
17.0,7,22.230022
-7.0,5,22.29902
3.0,8,22.420023
2.0,5,22.539161
2.0,6,22.649164
-4.0,5,22.727242
2.0,6,22.819242
-2.0,10,23.031767
0.0,7,23.130752
7.0,6,23.212753
4.0,5,23.280761
3.0,5,23.362753
-3.0,6,23.470756
-8.0,5,23.579823
-1.0,6,23.680606
4.0,5,23.763605
-5.0,5,23.876453
14.0,5,23.95296
-4.0,7,24.075026
11.0,6,24.176961
4.0,6,24.266959
-6.0,6,24.421962
10.0,6,24.526962
4.0,7,24.663959
-12.0,5,24.745962
0.0,9,24.902002
9.0,5,24.966
-7.0,9,25.103005
0.0,7,25.218665
0.0,6,25.307658
8.0,5,25.385753
2.0,6,25.498755
-11.0,5,25.581755
-5.0,5,25.643756
-3.0,6,25.729755
-6.0,9,25.870753
2.0,7,26.060272
-5.0,6,26.163272
8.0,7,26.279269
12.0,6,26.37827
0.0,6,26.474269
-10.0,5,26.570595
0.0,6,26.688595
-4.0,6,26.799595
7.0,5,26.867599
-2.0,7,26.977113
17.0,7,27.076115
15.0,5,27.344114
3.0,6,27.493485
-5.0,6,27.583479
0.0,5,27.66148
2.0,8,27.802484
6.0,7,27.909838
6.0,5,28.000345
-1.0,6,28.093325
-10.0,5,28.188325
8.0,9,28.373325
4.0,8,28.516322
-1.0,6,28.780325
2.0,6,28.874325
-2.0,8,29.034531
8.0,6,29.140533
-5.0,5,29.20953
5.0,6,29.296684
-5.0,7,29.391684
-5.0,5,29.493686
-2.0,6,29.605685
2.0,6,29.693684
-7.0,6,29.800684
-7.0,9,29.928189
1.0,6,30.025192
-5.0,7,30.121192
3.0,5,30.195192
3.0,5,30.267189
-7.0,6,30.348264
0.0,6,30.677544
-2.0,7,30.795541
2.0,5,30.881544
-1.0,8,31.003179
6.0,5,31.061185
5.0,5,31.134181
17.0,5,31.235179
1.0,9,31.420182
4.0,6,31.680185
2.0,6,31.77818
-2.0,6,31.873182
-11.0,6,31.971716
14.0,7,32.098938
-7.0,6,32.195938
3.0,5,32.281939
-1.0,5,32.350942
-5.0,6,32.430938
9.0,6,32.514939
-2.0,8,32.67694
3.0,5,32.759939
-11.0,5,32.935459
0.0,5,33.032457
5.0,5,33.110454
1.0,6,33.191454
8.0,5,33.298454
7.0,6,33.422676
-5.0,7,33.527678
-4.0,5,33.608671
-2.0,5,33.69968
1.0,5,33.767673
-7.0,6,33.863676
0.0,5,33.962829
-7.0,7,34.057834
3.0,6,34.148834
2.0,6,34.251834
-1.0,6,34.329833
4.0,6,34.438831
-5.0,5,34.512834
5.0,6,34.594835
-6.0,5,34.666832
7.0,5,34.732833
3.0,6,34.838077
5.0,5,34.935359
3.0,6,35.06536
3.0,5,35.186012
-6.0,5,35.35082
5.0,5,35.449624
9.0,7,35.595623
1.0,5,35.699261
-5.0,6,35.867676
-6.0,6,35.984401
-8.0,5,36.086277
9.0,5,36.219732
2.0,7,36.375421
4.0,8,36.554559
2.0,5,36.691536
-3.0,6,36.791684
-6.0,5,36.8854
1.0,8,37.056029
-2.0,7,37.187714
-6.0,5,37.283999
2.0,5,37.381369
1.0,9,37.59083
-2.0,7,38.242852
7.0,6,38.600799
0.0,6,38.778979
-2.0,6,38.916085
19.0,6,39.046103
4.0,6,39.172877
9.0,6,39.342753
2.0,10,216.026441
7.0,7,216.12745
-3.0,6,216.246507
-12.0,7,216.346443
1.0,5,216.407442
0.0,8,216.540291
-5.0,7,216.653291
