#{"t_start": 1732804559.5256586, "env_id": "sokoban-wide-v0"}
r,l,t
2.0,5,1.166303
-4.0,6,1.250386
7.0,5,1.325304
-3.0,6,1.427302
-6.0,7,1.535302
-7.0,11,1.71463
-3.0,7,1.867919
9.0,13,2.039926
13.0,7,2.132469
5.0,6,2.219468
6.0,5,2.298467
-11.0,5,2.369478
-5.0,5,2.472467
4.0,7,2.588467
11.0,5,2.675469
1.0,5,2.736469
-16.0,5,2.80756
-3.0,6,2.884951
-20.0,5,2.955031
11.0,7,3.048948
12.0,6,3.135445
-11.0,5,3.239433
14.0,5,3.305511
-4.0,5,3.362432
3.0,7,3.454568
-11.0,5,3.526567
2.0,7,3.637579
-6.0,5,3.729578
1.0,5,4.222584
4.0,6,4.298693
14.0,7,4.410699
7.0,5,4.474699
3.0,7,4.588699
3.0,7,4.695699
5.0,6,4.77871
12.0,10,4.889207
-12.0,6,4.966207
-18.0,7,5.053207
-8.0,5,5.124218
2.0,5,5.176207
-9.0,5,5.254282
-17.0,8,5.354252
7.0,6,5.467238
1.0,7,5.609238
0.0,5,5.66524
13.0,7,5.757241
-3.0,7,5.839748
11.0,6,5.928748
3.0,6,5.994748
-15.0,7,6.112751
-10.0,7,6.212919
0.0,5,6.27392
-2.0,8,6.376928
-3.0,7,6.45892
-13.0,6,6.575921
10.0,6,6.666921
2.0,7,6.747921
-7.0,5,6.797922
-10.0,6,6.898426
-7.0,5,6.965427
12.0,5,7.014433
2.0,6,7.090426
-5.0,9,7.265428
-5.0,9,7.445427
-3.0,5,7.539881
5.0,7,7.650888
0.0,5,7.741884
6.0,7,7.893401
-4.0,5,7.990394
-12.0,7,8.101395
6.0,8,8.249397
-3.0,8,8.362394
-12.0,6,8.476394
0.0,6,8.5784
5.0,5,8.672407
-8.0,8,8.851904
3.0,7,9.083704
-16.0,6,9.20771
-10.0,5,9.312702
-10.0,5,9.466748
-8.0,7,9.664796
4.0,5,9.741796
-3.0,8,9.869311
3.0,6,9.969308
-9.0,6,10.07631
-8.0,7,10.237926
22.0,7,10.428552
-14.0,6,10.552552
15.0,6,10.684565
0.0,6,10.78255
5.0,5,10.87607
0.0,6,10.978819
-5.0,7,11.11183
-6.0,5,11.194812
-8.0,6,11.288815
2.0,5,11.370814
3.0,6,11.472815
-10.0,8,11.601981
2.0,5,11.680528
-14.0,5,11.74953
5.0,5,11.816591
4.0,6,11.895712
-10.0,8,12.030707
6.0,6,12.113711
-4.0,6,12.207707
3.0,7,12.331773
11.0,8,12.444716
-4.0,5,12.604712
-3.0,5,12.698708
3.0,7,12.806709
-10.0,10,12.958426
1.0,7,13.07947
9.0,9,13.215474
11.0,5,13.301471
-6.0,7,13.424471
-1.0,8,13.53548
6.0,6,13.63354
1.0,8,13.788474
0.0,7,13.902979
-1.0,5,13.997977
1.0,7,14.104984
3.0,8,14.213979
8.0,6,14.319733
11.0,5,14.406189
-2.0,5,14.527188
10.0,6,14.638254
-3.0,6,14.735191
-9.0,6,14.812192
-3.0,6,14.888262
7.0,6,15.002262
0.0,5,15.130272
-2.0,5,15.207263
-13.0,6,15.32623
-7.0,5,15.427332
6.0,5,15.492397
0.0,5,15.592335
-1.0,6,15.707522
-3.0,6,15.800524
-1.0,6,15.908863
2.0,8,16.062867
-3.0,7,16.19586
10.0,6,16.300865
7.0,5,16.373862
0.0,6,16.476863
1.0,5,16.54586
-1.0,5,16.614861
0.0,5,16.677868
0.0,6,16.763859
5.0,6,16.856859
1.0,5,16.936365
8.0,6,17.035373
-2.0,6,17.118752
-1.0,6,17.209752
-1.0,6,17.299753
-6.0,8,17.666856
2.0,6,18.43489
-12.0,8,18.526888
3.0,5,18.588887
-3.0,5,18.667891
-4.0,7,18.780891
1.0,7,19.345783
3.0,9,19.463783
-2.0,5,19.520783
-1.0,5,19.595781
-5.0,6,19.687781
3.0,6,19.799215
9.0,5,19.882211
9.0,6,19.992713
6.0,8,20.143716
