#{"t_start": 1732804559.512714, "env_id": "sokoban-wide-v0"}
r,l,t
8.0,5,1.178248
7.0,7,1.277245
7.0,7,1.393249
-3.0,5,1.471246
-1.0,8,1.595247
7.0,5,1.677575
-9.0,5,1.752581
-4.0,5,1.880864
9.0,5,1.949867
1.0,5,2.005864
-3.0,5,2.085422
0.0,5,2.142414
3.0,5,2.222486
-5.0,6,2.310414
1.0,5,2.381421
-6.0,5,2.484412
-5.0,7,2.600412
14.0,6,2.698414
-9.0,6,2.777412
22.0,5,2.845966
-20.0,6,2.930975
-11.0,5,3.000894
-8.0,6,3.076892
17.0,7,3.178379
1.0,6,3.291379
27.0,5,3.352378
-6.0,5,3.412377
0.0,7,3.508512
-7.0,5,3.582512
-2.0,7,3.715591
11.0,7,4.234529
1.0,6,4.30052
2.0,5,4.402642
-9.0,5,4.455644
-1.0,6,4.535642
-1.0,8,4.670644
2.0,10,4.812644
-6.0,5,4.866152
0.0,7,4.961152
-2.0,7,5.042152
-10.0,7,5.137162
3.0,5,5.189152
-4.0,7,5.30115
3.0,6,5.367196
-3.0,6,5.479184
3.0,5,5.595189
4.0,7,5.677186
2.0,7,5.769186
3.0,7,5.851693
0.0,7,5.951693
-2.0,6,6.020693
-1.0,7,6.135695
-1.0,6,6.224864
-9.0,7,6.316864
2.0,8,6.412867
-7.0,7,6.495945
9.0,11,6.696865
4.0,5,6.749866
9.0,6,6.810866
10.0,7,6.925371
14.0,5,6.988371
0.0,6,7.052374
7.0,6,7.122374
0.0,8,7.296371
2.0,7,7.443372
0.0,5,7.535825
5.0,9,7.676886
2.0,8,7.866347
-7.0,6,7.961343
-7.0,6,8.051339
0.0,7,8.17734
-11.0,6,8.288407
-7.0,7,8.387339
3.0,6,8.506339
1.0,6,8.603342
-1.0,6,8.725346
-13.0,6,8.86385
3.0,7,9.09565
2.0,6,9.219651
-11.0,6,9.33765
-2.0,6,9.530746
-4.0,6,9.691741
4.0,7,9.795742
21.0,6,9.905255
4.0,5,9.981253
-3.0,6,10.088255
-3.0,7,10.250348
3.0,6,10.422498
14.0,7,10.564497
7.0,5,10.675494
1.0,6,10.776508
-5.0,6,10.888014
12.0,7,11.00176
3.0,8,11.15476
-6.0,5,11.247761
8.0,6,11.33183
0.0,6,11.43276
-8.0,5,11.52076
-8.0,6,11.613996
-3.0,10,11.761474
2.0,5,11.827536
3.0,5,11.897655
5.0,10,12.056652
-4.0,5,12.126656
-8.0,6,12.219652
14.0,6,12.326655
-5.0,7,12.43066
2.0,5,12.58966
0.0,6,12.685652
2.0,5,12.778715
5.0,6,12.860654
11.0,7,12.97137
-3.0,10,13.132416
17.0,8,13.261417
7.0,5,13.348419
-4.0,5,13.437416
6.0,6,13.524479
-6.0,8,13.645478
0.0,5,13.751418
-10.0,6,13.855415
6.0,6,13.942924
0.0,6,14.056923
4.0,6,14.147923
6.0,5,14.21192
-5.0,6,14.31497
11.0,6,14.415133
0.0,7,14.569133
-1.0,8,14.719199
0.0,7,14.809136
3.0,6,14.886698
-5.0,7,15.014207
2.0,5,15.142222
0.0,5,15.21921
-1.0,5,15.316208
-10.0,5,15.423281
-10.0,6,15.505341
-1.0,7,15.636278
-11.0,7,15.771469
-8.0,7,15.884465
-5.0,6,16.005808
1.0,7,16.152807
6.0,7,16.26281
7.0,8,16.385808
0.0,5,16.463807
9.0,5,16.543806
-5.0,6,16.626807
2.0,6,16.702825
-1.0,5,16.775804
0.0,5,16.850804
-1.0,6,16.948309
4.0,6,17.047313
-7.0,7,17.145699
-6.0,5,17.221697
4.0,5,17.299697
-5.0,8,17.665803
1.0,6,18.434834
3.0,5,18.493834
7.0,7,18.576832
-8.0,7,18.680835
5.0,5,18.756834
2.0,5,19.289725
8.0,5,19.367728
11.0,9,19.488728
-2.0,7,19.575728
-2.0,6,19.668726
-12.0,6,19.761726
-7.0,6,19.871152
2.0,6,19.982658
-4.0,7,20.11366
0.0,10,20.31267
12.0,6,20.422796
-2.0,6,20.55379
-1.0,7,20.747792
0.0,8,20.909789
-2.0,6,20.998307
-12.0,5,21.085309
-4.0,7,21.236454
-11.0,7,21.351457
-4.0,5,21.429457
7.0,5,21.527462
7.0,6,21.661455
-3.0,5,21.730459
-11.0,8,21.883458
-9.0,5,21.964962
-1.0,5,22.028965
0.0,9,22.16097
-7.0,9,22.299966
11.0,6,22.379963
7.0,5,22.460966
-11.0,5,22.564175
4.0,6,22.695105
-3.0,5,22.771236
-2.0,5,22.838185
6.0,6,22.958697
7.0,7,23.100695
-1.0,5,23.174695
6.0,8,23.282696
-5.0,7,23.392695
7.0,7,23.506699
-8.0,6,23.637698
-6.0,6,23.739549
-4.0,5,23.82355
2.0,9,23.991902
-8.0,5,24.092905
-10.0,8,24.219905
0.0,5,24.294905
-3.0,7,24.453911
-13.0,7,24.592902
-15.0,5,24.671903
1.0,6,24.787904
11.0,7,24.891902
7.0,6,24.997945
10.0,6,25.084943
-8.0,6,25.180943
-9.0,6,25.276604
6.0,5,25.344664
6.0,5,25.422695
10.0,7,25.555702
-8.0,6,25.651699
10.0,7,25.745699
-4.0,5,25.822696
3.0,7,25.931696
6.0,6,26.045214
5.0,6,26.202229
4.0,6,26.310211
5.0,10,26.468213
4.0,6,26.555212
-2.0,7,26.707537
-5.0,5,26.789537
1.0,5,26.883544
-5.0,5,26.951064
-3.0,6,27.049056
9.0,5,27.120059
-6.0,6,27.404057
-3.0,7,27.559426
0.0,7,27.682422
-4.0,7,27.799425
2.0,6,27.893425
-1.0,6,27.990288
-8.0,5,28.077345
-5.0,5,28.154268
-7.0,7,28.288328
12.0,8,28.442268
-2.0,5,28.533265
-1.0,6,28.811268
5.0,5,28.889278
0.0,7,29.003489
1.0,6,29.126473
-8.0,7,29.238473
1.0,6,29.316474
7.0,6,29.408626
7.0,6,29.509627
9.0,6,29.621627
-1.0,5,29.709627
-4.0,7,29.824626
5.0,10,29.972132
-11.0,7,30.083134
-4.0,5,30.144133
-12.0,7,30.252137
14.0,12,30.429218
9.0,6,30.748485
-8.0,7,30.869485
-3.0,8,30.992122
-3.0,5,31.069122
-4.0,6,31.152124
2.0,9,31.314121
-6.0,5,31.411121
-3.0,6,31.594125
-11.0,7,31.799129
-5.0,6,31.893126
-9.0,5,31.99366
-1.0,5,32.061853
14.0,6,32.168881
10.0,6,32.266885
8.0,5,32.350881
-9.0,8,32.458881
8.0,5,32.532882
-1.0,7,32.646881
-17.0,6,32.764881
-5.0,5,32.950883
2.0,6,33.046398
-1.0,5,33.137399
9.0,5,33.210402
-11.0,6,33.319399
2.0,6,33.442616
-11.0,10,33.604617
-7.0,5,33.677613
-1.0,7,33.796616
-3.0,6,33.885621
9.0,7,34.021774
-11.0,6,34.103777
-7.0,8,34.224785
4.0,6,34.326779
-2.0,5,34.387778
1.0,5,34.480774
-6.0,6,34.569777
-2.0,9,34.696775
4.0,7,34.792488
-1.0,7,34.913016
-5.0,5,35.018302
-13.0,10,35.248955
5.0,6,35.433582
3.0,5,35.525568
-1.0,6,35.656566
-5.0,6,35.790281
4.0,6,35.941157
-2.0,6,36.065897
-3.0,5,36.177803
6.0,8,36.36706
15.0,5,36.48245
-4.0,7,36.647742
-2.0,5,36.769039
12.0,6,36.873735
-8.0,6,36.987122
10.0,6,37.116489
-8.0,6,37.219624
-2.0,11,37.440824
-7.0,5,37.574636
22.0,5,37.668873
-9.0,5,38.282439
-16.0,6,38.636459
7.0,6,38.809899
-2.0,7,38.974545
2.0,7,39.122589
-9.0,6,39.272495
-2.0,5,39.400204
-5.0,5,39.494835
-9.0,6,216.095383
-9.0,7,216.203387
-1.0,6,216.314387
13.0,6,216.403387
6.0,6,216.48639
-3.0,5,216.564239
3.0,7,216.669235
-12.0,7,216.777235
14.0,11,216.968778
-5.0,6,217.054766
3.0,5,217.115763
-13.0,6,217.204763
-1.0,10,217.351767
4.0,6,217.447767
-1.0,6,217.551766
4.0,7,217.665767
0.0,7,217.822767
1.0,5,217.913055
2.0,5,217.980055
11.0,5,218.045341
2.0,5,218.175338
2.0,6,218.687341
0.0,6,218.808342
-12.0,6,218.893855
7.0,5,218.983856
12.0,6,219.123862
-2.0,8,219.338748
10.0,7,219.464751
-6.0,6,219.556747
-3.0,7,219.646749
-2.0,5,219.724755
4.0,7,219.820755
-11.0,6,219.918281
2.0,6,220.026278
-1.0,5,220.105278
-4.0,5,220.177281
-5.0,6,220.251278
-1.0,7,220.344282
9.0,6,220.462278
-12.0,8,220.587278
7.0,5,220.656605
-1.0,7,220.774607
-11.0,7,220.875119
-3.0,6,220.960117
3.0,5,221.110116
3.0,7,221.237119
3.0,7,221.357116
2.0,5,221.435117
0.0,5,221.525118
-1.0,9,221.708184
4.0,5,221.784936
2.0,6,221.873447
1.0,9,222.064255
-2.0,7,222.195251
6.0,5,222.274251
3.0,5,222.436743
-3.0,5,222.535739
11.0,5,222.62074
-3.0,5,222.679743
1.0,7,222.793744
-4.0,7,223.143843
-7.0,5,223.261839
2.0,5,223.339838
0.0,8,223.747446
-6.0,9,223.880956
-2.0,6,223.973953
8.0,7,224.07896
10.0,9,224.239953
-2.0,9,224.370956
-3.0,6,224.451953
6.0,7,224.559957
-4.0,6,224.721179
4.0,8,224.877185
-3.0,5,225.000696
3.0,7,225.1557
10.0,8,225.286701
-3.0,6,225.423701
-4.0,7,225.665699
-7.0,6,225.978894
8.0,6,226.189892
3.0,6,226.337825
8.0,7,226.551828
4.0,8,227.079171
-3.0,6,227.289164
12.0,6,227.450225
12.0,5,227.573224
5.0,5,227.750229
15.0,7,227.866222
6.0,5,227.940731
-2.0,6,228.062728
-8.0,5,228.144728
-3.0,5,228.219728
7.0,5,228.294738
-5.0,5,228.3678
-6.0,7,228.476732
5.0,6,228.576728
7.0,6,228.655728
14.0,7,228.742742
-9.0,5,228.819181
11.0,6,228.903687
2.0,5,228.991757
-2.0,5,229.072687
7.0,5,229.14269
-5.0,7,229.252688
9.0,7,229.369148
-16.0,6,229.471138
-7.0,7,229.618134
-1.0,6,229.75514
-18.0,6,229.865134
6.0,5,229.955413
3.0,7,230.046416
4.0,6,230.152415
-5.0,6,230.588979
-6.0,7,230.679976
-7.0,5,230.765043
2.0,5,230.840977
3.0,7,230.940496
-3.0,6,231.031572
2.0,5,231.088561
-7.0,8,231.254511
5.0,5,231.362499
-5.0,5,231.456502
2.0,9,231.661093
7.0,5,231.791091
-1.0,5,231.90409
-7.0,7,232.244287
4.0,6,232.353913
2.0,5,232.437422
3.0,8,232.58442
7.0,5,232.706419
6.0,6,232.799653
2.0,5,232.891652
7.0,7,233.032745
-11.0,5,233.157749
10.0,7,233.289753
-6.0,6,233.404753
-12.0,7,233.607745
2.0,7,233.772283
-3.0,7,233.935415
1.0,6,234.134413
-11.0,6,234.249097
10.0,5,234.363625
-5.0,6,234.516625
-5.0,9,234.713621
-4.0,11,234.95717
7.0,7,235.142173
13.0,7,235.287171
3.0,7,235.45624
-1.0,7,235.64019
-4.0,5,235.709198
8.0,5,235.801189
7.0,6,236.391894
0.0,5,236.464883
9.0,7,236.588885
-16.0,7,236.690886
-2.0,5,236.804884
-6.0,8,236.987596
-6.0,6,237.085596
3.0,5,237.173594
-3.0,5,237.315763
1.0,5,237.469765
7.0,5,237.565759
-2.0,5,237.649762
-9.0,5,237.745768
-6.0,8,237.956274
-3.0,5,238.045913
1.0,6,238.161274
0.0,5,238.299272
0.0,10,238.523518
-1.0,6,238.632518
10.0,5,238.75552
1.0,9,238.92352
4.0,6,239.02303
-6.0,5,239.129035
9.0,5,239.23803
5.0,6,239.373031
4.0,5,239.501031
10.0,5,239.71719
-4.0,6,239.833191
9.0,6,239.936561
-12.0,5,240.02508
-2.0,6,240.170068
13.0,6,240.296069
-16.0,5,240.375071
4.0,5,240.53707
8.0,7,240.694072
-4.0,6,240.807068
-2.0,5,240.910072
-1.0,5,240.990598
20.0,9,241.143418
5.0,8,241.298416
-6.0,6,241.416413
-1.0,6,241.561418
-4.0,6,241.700417
-2.0,6,241.850456
-17.0,5,241.973963
12.0,5,242.050972
-5.0,6,242.167962
12.0,6,242.266964
5.0,5,242.342962
3.0,8,242.507116
-3.0,6,242.588107
-8.0,5,242.669107
4.0,9,242.840108
-6.0,6,242.937119
12.0,5,243.002616
1.0,7,246.458721
-8.0,6,246.558731
-6.0,5,246.634724
-5.0,7,246.732722
-3.0,7,246.833722
5.0,5,246.894725
11.0,6,247.015053
0.0,8,247.147052
-2.0,7,247.261056
-10.0,5,247.336061
17.0,5,247.412055
-2.0,7,247.531055
5.0,6,247.687055
-1.0,6,247.779055
5.0,6,247.885667
-1.0,5,247.956202
1.0,7,248.067713
-6.0,12,248.298714
0.0,6,248.401715
-7.0,6,248.500712
9.0,7,248.656331
-14.0,6,248.745327
11.0,6,248.84033
-4.0,7,248.937328
2.0,7,249.033416
3.0,6,249.117407
-4.0,5,249.199408
7.0,7,249.299291
14.0,6,249.421286
5.0,5,249.507283
2.0,6,249.601283
-2.0,5,249.684288
-5.0,7,249.794286
5.0,5,249.849286
10.0,7,249.949967
-1.0,5,250.046047
-10.0,8,250.191047
-7.0,6,250.276056
0.0,7,250.397057
-10.0,7,250.533048
2.0,8,250.680202
-8.0,10,250.824201
-3.0,5,250.911304
-8.0,6,250.9933
-7.0,5,251.06681
-5.0,13,251.351805
2.0,6,251.496809
-8.0,5,251.620806
-2.0,6,251.741808
0.0,9,251.883808
10.0,5,251.951806
2.0,6,252.037496
-16.0,5,252.169492
10.0,7,252.280496
-5.0,5,252.359493
-6.0,5,252.475863
2.0,6,252.597899
12.0,7,252.742905
-7.0,5,252.871902
3.0,5,252.945899
-6.0,6,253.117213
-12.0,6,253.213213
2.0,5,253.338778
-5.0,6,253.438694
0.0,6,253.543692
-5.0,5,253.622691
