#{"t_start": 1732804559.5766573, "env_id": "sokoban-wide-v0"}
r,l,t
-7.0,7,1.155385
-7.0,6,1.245302
-12.0,6,1.343303
9.0,5,1.414302
-8.0,9,1.557479
1.0,6,1.657631
-1.0,6,1.80292
-2.0,6,1.88292
-1.0,9,2.007472
-2.0,8,2.118472
1.0,6,2.18947
2.0,5,2.270468
-5.0,6,2.380469
3.0,7,2.484537
1.0,6,2.600468
-1.0,6,2.681473
-13.0,8,2.793021
8.0,5,2.864025
14.0,5,2.932958
-12.0,8,3.029948
21.0,6,3.138436
-5.0,5,3.224435
-5.0,5,3.282433
7.0,6,3.355433
7.0,6,3.441569
-2.0,5,3.513576
12.0,7,3.642571
0.0,11,4.213576
-6.0,6,4.325697
-3.0,5,4.377699
9.0,7,4.468697
0.0,8,4.601697
1.0,7,4.700698
1.0,6,4.778207
2.0,7,4.868217
16.0,6,4.940208
14.0,5,4.998208
-8.0,9,5.113207
7.0,7,5.214206
-2.0,8,5.323241
12.0,8,5.503241
-21.0,5,5.567239
11.0,5,5.62124
1.0,5,5.688241
-2.0,7,5.76824
-1.0,8,5.88475
2.0,7,5.966749
19.0,6,6.06875
-1.0,7,6.168921
-3.0,10,6.306
-1.0,6,6.372001
-5.0,6,6.444921
4.0,5,6.566922
5.0,7,6.649921
-7.0,5,6.703922
-10.0,5,6.753921
-10.0,6,6.855428
9.0,5,6.921428
5.0,5,6.971429
-17.0,8,7.067429
2.0,6,7.209429
-10.0,5,7.303428
-5.0,5,7.401428
6.0,6,7.515881
4.0,7,7.625884
1.0,7,7.798399
-6.0,7,7.914397
15.0,7,8.021395
5.0,7,8.155398
1.0,6,8.255464
7.0,10,8.421395
-1.0,6,8.523397
1.0,5,8.614398
2.0,5,8.738397
7.0,5,8.823179
-8.0,7,9.090703
1.0,7,9.225704
-14.0,8,9.435799
1.0,8,9.640803
-5.0,5,9.711797
1.0,6,9.814312
-6.0,7,9.934309
4.0,5,10.019309
0.0,7,10.17931
2.0,6,10.345553
4.0,5,10.464558
5.0,6,10.579551
15.0,6,10.69155
9.0,5,10.783553
-14.0,8,10.922827
-1.0,7,11.052827
-1.0,6,11.152866
-9.0,5,11.232815
3.0,7,11.349816
-5.0,8,11.478815
0.0,5,11.560531
-3.0,6,11.65853
-6.0,7,11.745532
-4.0,6,11.829711
11.0,7,11.94371
-7.0,6,12.02271
-7.0,5,12.103709
2.0,6,12.211715
6.0,6,12.305709
-8.0,6,12.389715
3.0,7,12.581714
-4.0,7,12.710781
14.0,6,12.79271
-3.0,6,12.875215
-9.0,7,13.000471
-1.0,7,13.107483
6.0,5,13.193473
3.0,5,13.279471
-4.0,9,13.425473
0.0,7,13.525474
-6.0,6,13.634472
-4.0,5,13.732473
13.0,5,13.818471
4.0,5,13.892979
-4.0,6,14.006979
-4.0,6,14.092979
-13.0,5,14.157977
-6.0,6,14.263023
7.0,7,14.389189
0.0,6,14.526191
0.0,6,14.636191
-5.0,8,14.740191
-3.0,6,14.81819
4.0,6,14.923262
1.0,7,15.085323
-3.0,7,15.21226
-18.0,5,15.324335
0.0,5,15.402394
5.0,5,15.473336
-1.0,5,15.567332
12.0,5,15.665521
5.0,8,15.79853
-4.0,5,15.878863
-13.0,6,16.007864
-19.0,8,16.15686
-1.0,5,16.244862
6.0,5,16.317862
3.0,7,16.432861
18.0,8,16.546861
-8.0,5,16.606861
2.0,5,16.671862
7.0,8,16.80186
3.0,6,16.896366
-3.0,9,17.034788
7.0,7,17.143753
-1.0,6,17.231753
1.0,6,17.56386
3.0,6,17.655857
-5.0,7,18.426888
-13.0,8,18.524889
14.0,5,18.596892
2.0,7,18.708892
0.0,6,19.253782
5.0,5,19.321784
3.0,5,19.394782
3.0,7,19.478784
-14.0,10,19.630782
-3.0,5,19.718843
-5.0,6,19.816208
-5.0,6,19.937714
5.0,6,20.045717
-10.0,6,20.171715
3.0,7,20.294718
-3.0,5,20.405847
-10.0,6,20.589845
-6.0,5,20.67685
11.0,7,20.815848
0.0,6,20.915365
-2.0,5,20.998364
1.0,6,21.122513
-2.0,8,21.272514
2.0,5,21.351513
2.0,9,21.524512
3.0,5,21.628512
7.0,7,21.740513
-10.0,7,21.87202
11.0,7,21.960023
5.0,6,22.051021
0.0,5,22.124023
-9.0,6,22.219021
-3.0,5,22.288019
-6.0,5,22.355018
8.0,7,22.495225
4.0,7,22.639163
3.0,8,22.759242
-8.0,7,22.889755
-4.0,8,23.049751
16.0,5,23.119752
-4.0,5,23.187752
4.0,7,23.287753
0.0,8,23.426756
-6.0,8,23.581999
-11.0,5,23.671605
16.0,7,23.81668
3.0,6,23.912959
-1.0,9,24.064973
-5.0,5,24.149959
-6.0,6,24.242961
7.0,5,24.327964
0.0,9,24.543958
5.0,5,24.619961
-4.0,5,24.72096
7.0,8,24.845958
5.0,11,25.016999
-10.0,6,25.111999
-1.0,8,25.240659
-5.0,7,25.343754
-2.0,8,25.487754
-6.0,6,25.583755
-3.0,5,25.645754
-6.0,6,25.730754
-3.0,6,25.824751
8.0,6,25.934269
7.0,5,26.08727
-4.0,5,26.175269
5.0,5,26.253268
-3.0,8,26.385268
3.0,9,26.534269
-3.0,6,26.661594
-7.0,6,26.770593
-10.0,7,26.871599
6.0,5,26.944113
4.0,9,27.078113
-15.0,8,27.454481
-6.0,6,27.526542
4.0,7,27.650479
2.0,6,27.768484
-7.0,6,27.856478
3.0,5,27.937337
7.0,6,28.038338
-3.0,6,28.144323
9.0,7,28.285323
-5.0,7,28.410321
-15.0,7,28.549321
-8.0,6,28.806321
-3.0,6,28.900532
-6.0,5,29.002532
2.0,9,29.154529
1.0,7,29.249529
-1.0,7,29.354683
-5.0,5,29.437684
7.0,5,29.540684
6.0,5,29.627683
-3.0,6,29.727683
5.0,7,29.826683
2.0,6,29.919188
-2.0,6,30.01519
17.0,5,30.076188
4.0,6,30.171191
0.0,8,30.284188
-15.0,5,30.360273
0.0,7,30.691538
2.0,5,30.784541
-6.0,5,30.871541
6.0,6,30.967178
2.0,7,31.051184
-4.0,6,31.15419
3.0,6,31.267178
-7.0,7,31.41218
-11.0,6,31.67018
6.0,6,31.767179
2.0,6,31.862177
-2.0,8,31.989715
-3.0,7,32.115938
9.0,5,32.195937
-2.0,6,32.300937
3.0,6,32.380937
6.0,5,32.451942
-1.0,6,32.528938
-5.0,6,32.665939
-3.0,5,32.85194
7.0,6,32.942453
-1.0,5,33.041456
-10.0,7,33.141461
-9.0,7,33.267458
10.0,7,33.414673
-1.0,6,33.504685
-4.0,7,33.60967
7.0,9,33.755672
0.0,7,33.871675
1.0,6,33.97683
1.0,7,34.071831
-18.0,6,34.169835
3.0,5,34.257832
-14.0,6,34.342843
-10.0,5,34.42883
-3.0,5,34.501834
-13.0,5,34.572831
-1.0,8,34.679831
-11.0,8,34.804077
-8.0,8,34.976356
-10.0,5,35.074365
-1.0,8,35.296809
-5.0,6,35.439623
-11.0,5,35.531625
5.0,6,35.662728
-6.0,7,35.858195
0.0,6,35.975912
2.0,5,36.077689
-4.0,7,36.261042
5.0,5,36.367938
1.0,5,36.469092
-13.0,6,36.648966
4.0,9,36.800705
2.0,6,36.919179
-18.0,5,37.027992
-5.0,8,37.179723
-6.0,7,37.318627
-6.0,7,37.444513
8.0,7,37.616103
1.0,7,38.276078
2.0,5,38.621774
3.0,7,38.816079
8.0,6,38.931633
-7.0,5,39.053132
-5.0,5,39.170477
-7.0,8,39.372816
-11.0,5,39.462974
8.0,7,216.06744
-1.0,5,216.149449
1.0,5,216.247442
-1.0,5,216.31845
-15.0,6,216.399441
-12.0,6,216.49629
-5.0,7,216.60229
11.0,5,216.672291
-9.0,5,216.758302
9.0,7,216.880829
3.0,8,216.997822
-18.0,8,217.11382
-7.0,5,217.17582
4.0,9,217.310819
8.0,5,217.410821
-1.0,5,217.484822
9.0,7,217.596822
3.0,6,217.739821
5.0,8,217.875113
-11.0,5,217.938112
9.0,5,218.019397
5.0,6,218.567396
5.0,5,218.649394
-2.0,6,218.770396
-8.0,6,218.862917
6.0,7,219.004913
-8.0,5,219.136914
-1.0,8,219.317806
-4.0,6,219.430804
-5.0,8,219.540817
2.0,5,219.600804
-1.0,6,219.69581
9.0,10,219.849335
3.0,5,219.931337
-12.0,5,220.026334
4.0,6,220.109338
6.0,6,220.184334
-7.0,8,220.305338
-5.0,5,220.395339
7.0,5,220.473334
11.0,10,220.615671
-7.0,6,220.719663
0.0,5,220.797169
