#{"t_start": 1732804559.5336661, "env_id": "sokoban-wide-v0"}
r,l,t
0.0,5,1.159295
15.0,6,1.245365
-11.0,7,1.350293
-3.0,5,1.441294
0.0,6,1.529294
2.0,5,1.605137
11.0,5,1.691622
-3.0,6,1.839912
-1.0,6,1.915911
5.0,6,1.986912
-3.0,5,2.066469
7.0,5,2.129462
-13.0,5,2.202526
1.0,6,2.29246
-7.0,8,2.42846
0.0,6,2.514459
5.0,8,2.669461
-3.0,5,2.730462
7.0,8,2.842018
1.0,7,2.932
0.0,6,3.02194
-7.0,6,3.103426
-1.0,5,3.198427
-1.0,6,3.284501
12.0,7,3.368425
9.0,6,3.44856
5.0,7,3.54657
-7.0,6,3.656562
7.0,6,3.740569
11.0,6,4.251568
-2.0,6,4.359688
4.0,7,4.43669
-8.0,8,4.560689
-4.0,5,4.63669
-9.0,6,4.724691
-9.0,5,4.793691
1.0,9,4.904207
2.0,5,4.960199
-5.0,5,5.026199
-3.0,8,5.133199
7.0,10,5.262197
13.0,5,5.324234
-8.0,6,5.410234
-5.0,9,5.602231
8.0,5,5.658232
5.0,6,5.740232
-5.0,7,5.816233
-11.0,9,5.940741
-5.0,5,6.000741
4.0,7,6.117743
-4.0,5,6.19492
-13.0,9,6.314911
19.0,6,6.380913
1.0,9,6.492913
-2.0,5,6.614913
-3.0,7,6.697913
-4.0,6,6.760917
-10.0,6,6.83642
-8.0,6,6.930419
-2.0,6,6.997426
4.0,5,7.056421
-9.0,6,7.134419
-5.0,7,7.294422
-5.0,6,7.424419
-6.0,6,7.533874
10.0,6,7.630888
-16.0,5,7.721872
5.0,7,7.873393
8.0,8,8.005388
15.0,6,8.113387
-2.0,5,8.204389
-3.0,5,8.290452
1.0,5,8.355386
-2.0,9,8.513386
4.0,5,8.59739
-9.0,7,8.759388
4.0,6,8.870691
-1.0,9,9.167694
-13.0,7,9.308697
-5.0,8,9.536798
5.0,7,9.707788
-1.0,5,9.775789
-1.0,5,9.863303
-3.0,7,9.987306
15.0,6,10.088304
-6.0,6,10.231445
-13.0,5,10.357546
1.0,5,10.497544
3.0,6,10.607541
8.0,5,10.713542
17.0,6,10.816543
-8.0,5,10.900809
8.0,5,10.981808
7.0,10,11.174804
-4.0,6,11.269807
-1.0,6,11.364809
-2.0,7,11.481807
-1.0,9,11.627523
8.0,5,11.706521
11.0,10,11.843521
-12.0,5,11.90571
0.0,7,12.023699
-13.0,9,12.153699
9.0,6,12.262705
-11.0,7,12.369702
9.0,6,12.528703
-3.0,6,12.630707
2.0,6,12.7477
1.0,7,12.8427
6.0,6,12.926204
13.0,5,13.019463
-7.0,5,13.100462
-4.0,6,13.193465
-6.0,7,13.316462
-5.0,7,13.433465
-5.0,5,13.50553
0.0,7,13.605466
1.0,6,13.732464
2.0,6,13.837463
9.0,6,13.924971
-3.0,5,14.018968
-6.0,8,14.14197
3.0,9,14.28302
-8.0,5,14.35118
5.0,5,14.47418
-6.0,7,14.609181
5.0,7,14.728193
4.0,5,14.792181
5.0,7,14.882254
3.0,5,14.972253
1.0,6,15.123289
1.0,6,15.220252
-12.0,8,15.383327
-3.0,8,15.50139
2.0,8,15.666337
17.0,6,15.762517
-9.0,5,15.85052
3.0,5,15.928919
-10.0,6,16.05586
-4.0,7,16.189853
1.0,6,16.294851
8.0,7,16.397854
5.0,5,16.481853
-7.0,5,16.555855
-14.0,12,16.707854
-3.0,6,16.804852
-5.0,5,16.885357
-1.0,8,17.015358
-2.0,6,17.095813
9.0,6,17.191751
3.0,7,17.42185
-8.0,6,17.628848
5.0,6,17.718849
-1.0,7,18.48488
2.0,5,18.54788
-2.0,6,18.629883
8.0,6,18.72188
7.0,9,19.324775
-1.0,7,19.406774
-9.0,5,19.480775
0.0,5,19.540776
3.0,6,19.633772
9.0,5,19.714774
1.0,7,19.835199
4.0,7,19.963705
12.0,6,20.066708
-9.0,6,20.187707
0.0,6,20.311707
-8.0,6,20.434837
6.0,5,20.609836
-7.0,6,20.70784
5.0,8,20.868842
-3.0,11,21.046356
17.0,6,21.172503
-4.0,8,21.320505
-17.0,6,21.410505
-10.0,6,21.522508
1.0,5,21.647506
0.0,9,21.792505
10.0,10,21.95701
-1.0,5,22.029019
7.0,7,22.129016
-5.0,8,22.255016
1.0,8,22.36101
-11.0,7,22.47701
2.0,5,22.601152
-13.0,6,22.704154
10.0,6,22.795232
3.0,5,22.874234
-2.0,7,23.037743
1.0,6,23.133743
0.0,6,23.206742
1.0,5,23.277742
-2.0,5,23.356743
-2.0,5,23.446744
-2.0,6,23.565743
-1.0,5,23.656597
-11.0,7,23.7586
3.0,6,23.901646
5.0,6,23.990952
-6.0,7,24.113014
5.0,5,24.20095
11.0,9,24.33095
-2.0,5,24.478954
-3.0,5,24.574951
0.0,6,24.684952
5.0,6,24.784953
-3.0,7,24.89495
7.0,5,24.978992
11.0,5,25.05299
1.0,7,25.16599
0.0,6,25.257651
-9.0,5,25.325658
-6.0,6,25.425743
5.0,6,25.535746
-3.0,5,25.618746
3.0,5,25.680746
-2.0,9,25.817743
-7.0,7,25.928259
16.0,5,26.085262
-9.0,8,26.223259
0.0,5,26.30426
-6.0,5,26.385261
-1.0,6,26.488263
3.0,5,26.56326
-16.0,6,26.689584
10.0,9,26.846585
-3.0,7,26.94511
-6.0,7,27.053103
6.0,7,27.186104
-1.0,6,27.502472
5.0,11,27.673469
-6.0,5,27.752471
-7.0,7,27.874473
-4.0,6,27.972328
0.0,5,28.057396
-4.0,5,28.135313
-10.0,6,28.247314
3.0,6,28.369315
-2.0,5,28.460313
-7.0,5,28.556313
12.0,6,28.818313
-7.0,5,28.890323
-4.0,5,28.985524
-5.0,5,29.089522
6.0,5,29.178534
2.0,5,29.245521
-1.0,6,29.333752
5.0,5,29.402674
-1.0,8,29.551674
0.0,6,29.663674
4.0,7,29.774674
4.0,5,29.851674
-4.0,6,29.930674
7.0,8,30.064182
0.0,5,30.12518
-18.0,6,30.220182
9.0,7,30.320181
-10.0,5,30.394267
-9.0,8,30.740532
-10.0,8,30.884529
8.0,7,30.997169
-6.0,5,31.060169
4.0,7,31.158173
-4.0,8,31.32517
1.0,5,31.425169
-7.0,6,31.639169
-7.0,5,31.765175
7.0,9,31.91417
-5.0,6,32.011706
-1.0,7,32.137929
0.0,5,32.212929
4.0,7,32.331929
-5.0,9,32.455929
8.0,6,32.539929
1.0,6,32.644928
-4.0,6,32.760928
0.0,8,32.990444
7.0,5,33.089447
-7.0,5,33.163449
-3.0,5,33.249444
-8.0,6,33.356445
-9.0,6,33.481668
-14.0,5,33.553668
5.0,7,33.658661
-1.0,7,33.777666
-5.0,10,33.944664
1.0,6,34.036821
-6.0,7,34.142825
-7.0,6,34.232829
8.0,7,34.343823
-1.0,5,34.429823
0.0,8,34.550824
5.0,6,34.632889
11.0,7,34.729822
5.0,5,34.804066
11.0,6,34.909062
-8.0,6,35.042347
8.0,8,35.232004
-3.0,6,35.414621
2.0,6,35.535613
10.0,7,35.671324
4.0,7,35.862967
6.0,5,35.956766
-12.0,5,36.059671
4.0,5,36.184953
6.0,6,36.332593
-3.0,6,36.464498
11.0,7,36.633319
7.0,7,36.783626
11.0,7,36.907381
-17.0,5,37.005855
-5.0,5,37.114576
-2.0,6,37.23257
-5.0,9,37.405682
1.0,8,37.593278
-2.0,5,38.210935
-1.0,6,38.326072
-1.0,6,38.705542
7.0,7,38.904695
5.0,6,39.006426
0.0,7,39.165956
12.0,6,39.335686
0.0,6,39.462367
0.0,7,216.075431
7.0,5,216.151431
0.0,6,216.272499
14.0,5,216.336432
-8.0,9,216.467438
5.0,7,216.580292
9.0,6,216.670281
-5.0,7,216.77728
-5.0,6,216.865815
4.0,6,216.984875
-13.0,6,217.058813
-9.0,5,217.129811
-1.0,6,217.208811
-2.0,5,217.281814
-5.0,5,217.361814
7.0,6,217.479812
-3.0,6,217.568878
12.0,9,217.754812
16.0,7,217.870549
-7.0,6,217.961103
7.0,5,218.02739
7.0,5,218.158386
-3.0,6,218.672395
9.0,6,218.790388
3.0,6,218.875902
-1.0,5,218.967906
7.0,7,219.129903
-2.0,7,219.319795
-6.0,7,219.447796
-5.0,6,219.537795
-2.0,8,219.637795
2.0,5,219.720802
3.0,6,219.805801
10.0,6,219.902328
-3.0,7,220.027325
-9.0,5,220.104325
-3.0,7,220.194338
-13.0,6,220.278325
4.0,5,220.354336
0.0,5,220.443325
-11.0,9,220.584107
12.0,11,220.754654
4.0,6,220.846166
-6.0,7,220.941164
7.0,6,221.121164
-1.0,8,221.253167
-4.0,6,221.352164
2.0,6,221.442165
6.0,6,221.573168
3.0,7,221.702219
0.0,5,221.778983
-1.0,6,221.880493
-1.0,5,221.9853
8.0,8,222.145299
1.0,10,222.324299
6.0,5,222.487787
10.0,5,222.564792
5.0,7,222.66079
2.0,7,222.775789
-4.0,5,223.094886
2.0,6,223.224886
-5.0,6,223.321887
-5.0,5,223.419148
-3.0,7,223.783493
3.0,7,223.897
-7.0,7,223.991003
0.0,8,224.136003
11.0,6,224.245
2.0,6,224.325
-4.0,7,224.422009
16.0,8,224.546007
13.0,8,224.741226
-6.0,5,224.835227
0.0,5,224.957745
-9.0,6,225.099744
-10.0,5,225.183747
2.0,5,225.267745
8.0,6,225.405749
8.0,8,225.711746
14.0,9,226.090938
-3.0,5,226.249938
1.0,6,226.396873
11.0,6,226.86269
5.0,5,227.039213
-3.0,5,227.20922
8.0,5,227.345214
-3.0,6,227.514271
-4.0,6,227.716272
-4.0,6,227.810274
6.0,6,227.909777
6.0,5,227.987788
8.0,6,228.107776
7.0,6,228.201777
-4.0,9,228.334779
2.0,6,228.419783
0.0,6,228.526775
1.0,6,228.609776
5.0,6,228.692775
-9.0,7,228.788228
3.0,5,228.854227
3.0,5,228.931734
-3.0,6,229.036735
-2.0,5,229.106742
-7.0,7,229.211746
2.0,5,229.297184
