#{"t_start": 1732804559.5326748, "env_id": "sokoban-wide-v0"}
r,l,t
-4.0,6,1.174287
7.0,6,1.259297
6.0,7,1.377286
-8.0,6,1.466284
8.0,7,1.576285
8.0,5,1.659615
-3.0,6,1.778613
12.0,6,1.892903
13.0,6,1.964904
-1.0,6,2.056463
-8.0,6,2.129452
7.0,12,2.306451
9.0,6,2.417451
0.0,6,2.49945
-8.0,6,2.618455
2.0,5,2.692453
8.0,7,2.786451
1.0,7,2.879934
4.0,8,2.998931
-13.0,7,3.078931
1.0,5,3.167419
-11.0,6,3.273418
-4.0,9,3.383417
2.0,5,3.449551
-1.0,6,3.533552
-2.0,6,3.632553
3.0,13,4.252559
-6.0,5,4.330685
9.0,5,4.405682
5.0,7,4.492682
4.0,6,4.60268
-2.0,5,4.671682
-6.0,6,4.756681
-10.0,5,4.812683
-4.0,5,4.871191
-8.0,6,4.95119
-5.0,5,5.014192
2.0,6,5.091189
2.0,5,5.15119
-6.0,8,5.263188
-1.0,9,5.389224
2.0,7,5.552223
-1.0,7,5.635227
0.0,8,5.740222
-18.0,7,5.817224
-6.0,6,5.914732
4.0,6,5.975732
10.0,5,6.044732
2.0,7,6.165904
1.0,6,6.242904
-1.0,5,6.314903
-4.0,8,6.410906
-8.0,7,6.492904
-1.0,6,6.627905
-7.0,6,6.697904
1.0,5,6.750905
-7.0,6,6.822904
-6.0,6,6.91641
9.0,5,6.978413
6.0,5,7.034411
11.0,6,7.103413
-1.0,6,7.196413
1.0,8,7.40941
7.0,7,7.533865
13.0,5,7.612863
0.0,8,7.76787
-17.0,7,7.898385
-1.0,7,8.018383
5.0,7,8.146378
-4.0,6,8.255381
-8.0,5,8.329377
5.0,8,8.475377
0.0,5,8.555391
10.0,5,8.644381
14.0,6,8.790379
-4.0,6,8.883685
-22.0,7,9.155685
-4.0,8,9.30869
0.0,7,9.520781
-4.0,6,9.67378
-3.0,8,9.791789
2.0,7,9.911294
-3.0,5,10.006295
3.0,9,10.198294
-10.0,8,10.405535
1.0,7,10.546535
-6.0,6,10.679542
-8.0,5,10.759537
0.0,6,10.872054
0.0,5,10.954808
4.0,7,11.0858
1.0,11,11.270798
5.0,7,11.385799
-6.0,5,11.466798
7.0,10,11.627515
-4.0,6,11.719514
0.0,7,11.811514
-3.0,6,11.889695
3.0,6,11.995692
-4.0,6,12.071691
2.0,6,12.169691
11.0,5,12.262699
-3.0,5,12.343693
-8.0,7,12.438699
5.0,6,12.618773
-9.0,8,12.759754
3.0,11,12.901205
16.0,8,13.051454
13.0,6,13.139463
-2.0,5,13.230457
-5.0,6,13.332454
-7.0,7,13.449456
-4.0,5,13.519463
7.0,5,13.587457
-1.0,6,13.701454
5.0,5,13.799455
0.0,7,13.911961
-7.0,5,14.005959
4.0,6,14.099976
-2.0,7,14.193959
4.0,6,14.298006
-3.0,8,14.453171
2.0,5,14.557171
-11.0,5,14.651171
-8.0,6,14.739183
5.0,6,14.816173
15.0,8,14.924254
5.0,6,15.089244
-1.0,7,15.204243
3.0,7,15.362317
-4.0,5,15.441399
0.0,7,15.54632
7.0,6,15.666386
12.0,9,15.812506
-6.0,10,16.011842
2.0,8,16.163843
-3.0,7,16.267849
10.0,6,16.367845
-13.0,6,16.470846
3.0,7,16.569845
-2.0,9,16.684911
-10.0,6,16.781842
-4.0,7,16.885349
4.0,5,16.960348
-10.0,6,17.057739
-7.0,5,17.128736
-12.0,5,17.203736
0.0,5,17.282736
11.0,6,17.615846
1.0,6,17.70684
-3.0,7,18.475872
-8.0,6,18.548872
