#{"t_start": 1732804559.5586662, "env_id": "sokoban-wide-v0"}
r,l,t
5.0,8,1.189293
5.0,5,1.260294
-13.0,9,1.409293
4.0,5,1.469293
-5.0,6,1.573014
9.0,5,1.659626
1.0,5,1.762624
-3.0,5,1.859913
-6.0,5,1.921913
12.0,5,1.991914
7.0,10,2.132463
5.0,5,2.19646
0.0,7,2.29846
3.0,5,2.395459
-9.0,6,2.482459
-8.0,8,2.632461
1.0,5,2.695461
-6.0,5,2.768503
-3.0,7,2.861942
7.0,6,2.943949
-5.0,6,3.02494
12.0,7,3.126427
-6.0,5,3.228425
0.0,5,3.287425
7.0,5,3.351425
5.0,5,3.41656
2.0,6,3.500561
-6.0,5,3.57356
-10.0,9,3.720562
-9.0,5,4.220567
1.0,6,4.316688
22.0,6,4.39169
8.0,7,4.483688
-9.0,9,4.634691
1.0,5,4.70569
7.0,6,4.78069
4.0,6,4.849199
0.0,7,4.941199
1.0,10,5.069197
-1.0,6,5.137198
-9.0,7,5.246197
-17.0,5,5.303232
-2.0,6,5.390232
5.0,8,5.57023
0.0,5,5.624232
-8.0,8,5.729241
-9.0,6,5.800743
-6.0,5,5.88274
-2.0,6,5.94074
-3.0,5,6.01174
-3.0,8,6.146925
11.0,9,6.26291
-5.0,8,6.359912
-7.0,7,6.443989
-5.0,5,6.548913
4.0,7,6.656912
-6.0,6,6.718912
-9.0,6,6.788914
0.0,8,6.916419
-13.0,5,6.966421
-6.0,8,7.06242
-6.0,9,7.240419
7.0,6,7.369421
-1.0,5,7.461425
-20.0,6,7.554883
9.0,7,7.677876
-6.0,5,7.800877
-6.0,5,7.884392
12.0,5,7.973387
-2.0,6,8.077387
-1.0,6,8.184389
-2.0,10,8.335386
3.0,8,8.481386
7.0,8,8.623389
-7.0,6,8.778386
-4.0,7,8.878695
4.0,5,9.121693
-17.0,5,9.192695
0.0,6,9.310696
-6.0,5,9.50279
-20.0,9,9.699788
5.0,6,9.792788
-1.0,6,9.891312
-8.0,7,10.0183
-6.0,7,10.176301
-1.0,7,10.340545
-6.0,5,10.478544
16.0,5,10.569541
-10.0,8,10.719544
-3.0,5,10.813543
13.0,6,10.917818
9.0,6,11.025805
-7.0,5,11.116806
-5.0,6,11.222807
4.0,6,11.306807
-9.0,5,11.392807
3.0,5,11.481806
5.0,8,11.606522
-19.0,5,11.68552
3.0,5,11.744523
7.0,5,11.823189
6.0,6,11.897705
-3.0,5,11.9907
-11.0,6,12.070703
2.0,7,12.1827
3.0,6,12.287702
12.0,5,12.364701
1.0,6,12.531707
-10.0,5,12.607702
20.0,6,12.725699
-19.0,6,12.8027
-7.0,7,12.909211
-1.0,7,13.033463
8.0,5,13.103462
-1.0,6,13.208464
2.0,6,13.310464
-2.0,7,13.428467
-10.0,6,13.508465
-5.0,5,13.590468
2.0,6,13.714464
-4.0,6,13.820464
0.0,5,13.889969
-6.0,7,14.01797
-11.0,7,14.120978
-2.0,6,14.206478
4.0,6,14.30418
0.0,7,14.46018
-6.0,6,14.572181
-2.0,6,14.681249
-5.0,6,14.75318
3.0,5,14.819182
1.0,9,14.982259
-1.0,10,15.183251
-2.0,5,15.284254
-4.0,6,15.403389
18.0,7,15.509326
0.0,5,15.603325
5.0,6,15.718516
2.0,7,15.830513
2.0,5,15.909915
6.0,5,16.020856
7.0,6,16.142855
0.0,7,16.252852
4.0,5,16.332854
-2.0,5,16.407859
2.0,5,16.491853
4.0,5,16.561852
1.0,5,16.621853
-7.0,5,16.686854
-13.0,7,16.798851
-6.0,6,16.893366
0.0,7,17.008359
7.0,10,17.157744
3.0,6,17.243745
10.0,5,17.564852
2.0,7,17.670848
5.0,6,18.42888
11.0,6,18.50388
9.0,5,18.562882
16.0,5,18.642952
-1.0,9,18.78488
-1.0,7,19.337775
-3.0,6,19.422775
0.0,6,19.492775
-6.0,6,19.584773
5.0,5,19.665773
14.0,7,19.788287
-3.0,5,19.867707
-10.0,6,19.984707
4.0,9,20.155706
-1.0,7,20.293706
0.0,6,20.418837
7.0,6,20.604836
-4.0,5,20.68984
-4.0,6,20.811839
-7.0,10,20.980353
-5.0,6,21.088355
-2.0,6,21.208502
5.0,5,21.299505
9.0,7,21.406504
-9.0,5,21.503507
-1.0,8,21.665504
6.0,6,21.779503
-12.0,9,21.92501
0.0,6,22.010012
8.0,7,22.108014
-6.0,7,22.224012
2.0,5,22.287009
0.0,5,22.35601
8.0,6,22.457608
2.0,6,22.600152
-10.0,5,22.684691
-14.0,7,22.785233
-2.0,7,22.922743
-4.0,5,23.029755
2.0,5,23.112742
-2.0,6,23.185742
5.0,5,23.255742
-8.0,5,23.336743
4.0,6,23.440743
-6.0,7,23.583808
8.0,5,23.673593
9.0,7,23.792594
15.0,6,23.911952
17.0,7,24.037953
-1.0,5,24.110952
-4.0,5,24.195951
3.0,7,24.294949
-4.0,6,24.45895
14.0,6,24.571949
5.0,7,24.696952
4.0,5,24.778953
1.0,6,24.880949
11.0,6,24.96899
-9.0,6,25.055991
7.0,7,25.18099
5.0,7,25.28065
-5.0,7,25.388743
4.0,6,25.501745
7.0,7,25.613745
-12.0,6,25.692745
-6.0,6,25.784742
-11.0,6,25.874743
-7.0,7,26.064261
-6.0,6,26.167262
4.0,7,26.28326
0.0,6,26.382261
-2.0,8,26.503264
0.0,8,26.673585
4.0,5,26.749585
-8.0,5,26.843589
10.0,5,26.914109
-16.0,5,26.996105
-1.0,5,27.063111
2.0,5,27.167105
-7.0,5,27.469472
9.0,9,27.60747
3.0,8,27.735471
1.0,5,27.819475
-2.0,5,27.901539
4.0,9,28.054329
-22.0,6,28.151315
2.0,5,28.257315
-5.0,5,28.353384
2.0,5,28.444313
-9.0,5,28.537312
4.0,5,28.784315
-1.0,7,28.895317
-2.0,8,29.05052
6.0,6,29.156535
11.0,5,29.22452
-4.0,7,29.327739
2.0,6,29.412736
2.0,6,29.530675
-4.0,5,29.628675
6.0,6,29.716683
0.0,5,29.804674
-9.0,7,29.896675
11.0,5,29.974181
2.0,6,30.069181
-11.0,6,30.151183
-3.0,6,30.236179
10.0,6,30.32618
3.0,5,30.420278
4.0,5,30.707529
14.0,5,30.798531
2.0,5,30.881531
6.0,7,30.996168
4.0,6,31.064169
-7.0,8,31.213169
-5.0,6,31.32517
10.0,5,31.423171
9.0,5,31.625169
-8.0,7,31.775173
0.0,6,31.877169
6.0,7,31.990706
-5.0,6,32.103928
-1.0,5,32.180928
16.0,6,32.284929
-2.0,6,32.367929
6.0,7,32.466933
-1.0,7,32.562929
15.0,5,32.68093
-2.0,5,32.762928
1.0,7,32.978512
-3.0,5,33.069446
-3.0,9,33.195445
-4.0,5,33.302444
12.0,5,33.404665
-1.0,7,33.519666
5.0,12,33.719661
9.0,7,33.814662
4.0,5,33.902665
-1.0,8,34.038826
3.0,5,34.107824
-9.0,5,34.184827
14.0,7,34.298823
-10.0,6,34.396821
0.0,5,34.481823
1.0,6,34.556824
6.0,5,34.627822
0.0,6,34.710821
8.0,5,34.788065
-1.0,6,34.889062
-9.0,5,35.008347
7.0,7,35.169003
-2.0,5,35.3088
22.0,1,35.35481
-2.0,5,35.452614
1.0,6,35.563615
12.0,7,35.731281
-10.0,5,35.871659
-4.0,5,35.957909
-7.0,6,36.091266
6.0,7,36.270713
-14.0,7,36.420476
3.0,6,36.55755
6.0,6,36.71657
-2.0,6,36.816698
-5.0,8,36.97034
0.0,6,37.096891
11.0,5,37.187199
-15.0,5,37.287988
15.0,6,37.400877
-1.0,5,37.534199
6.0,5,37.630589
26.0,6,38.261449
9.0,8,38.708117
1.0,7,38.883219
18.0,6,38.995472
4.0,6,39.125444
10.0,7,39.318201
3.0,7,39.458937
7.0,6,216.053431
-10.0,6,216.150432
-4.0,6,216.262433
4.0,9,216.385432
8.0,6,216.476085
3.0,5,216.559281
0.0,11,216.72528
-3.0,5,216.801812
-6.0,7,216.929812
-8.0,5,217.00182
-12.0,6,217.07881
4.0,6,217.163811
-2.0,9,217.298813
-20.0,6,217.394814
8.0,7,217.510813
-11.0,5,217.595819
-18.0,6,217.736812
5.0,7,217.857103
4.0,5,217.927102
-2.0,6,218.01139
0.0,6,218.385395
0.0,6,218.664448
-3.0,7,218.797388
6.0,5,218.87691
-1.0,5,218.972905
0.0,8,219.188903
2.0,6,219.311795
-8.0,6,219.431798
5.0,5,219.504795
2.0,5,219.566794
-5.0,10,219.709801
5.0,6,219.804785
-4.0,6,219.902396
4.0,6,220.007325
-6.0,5,220.082325
-8.0,7,220.175328
-3.0,5,220.244325
-10.0,7,220.363325
5.0,5,220.442326
7.0,5,220.520325
-3.0,8,220.629655
-2.0,6,220.734655
4.0,5,220.806654
1.0,5,220.876167
6.0,7,221.045164
1.0,5,221.149167
-1.0,5,221.235167
1.0,9,221.376164
8.0,5,221.465167
-1.0,8,221.63422
-3.0,7,221.744982
-4.0,8,221.879491
6.0,8,222.045299
-1.0,5,222.142298
19.0,7,222.2513
17.0,10,222.512787
-4.0,9,222.641789
6.0,6,222.739789
-1.0,7,223.087886
-2.0,7,223.243885
2.0,6,223.344141
0.0,5,223.557145
7.0,5,223.764492
-1.0,5,223.841004
-9.0,6,223.934999
-2.0,6,224.022003
-5.0,5,224.121002
-4.0,7,224.240003
6.0,5,224.305
0.0,6,224.390009
6.0,8,224.501
0.0,7,224.686226
-6.0,7,224.815227
-2.0,6,224.963748
7.0,7,225.116745
-8.0,7,225.231744
6.0,7,225.390744
7.0,5,225.547752
-4.0,6,225.891936
-10.0,6,226.086937
-5.0,6,226.253576
0.0,6,226.421873
-1.0,6,226.923215
12.0,5,227.046223
-9.0,5,227.232214
3.0,8,227.437279
11.0,7,227.681271
1.0,9,227.83127
6.0,7,227.943777
0.0,7,228.073775
4.0,9,228.211784
-3.0,6,228.298778
11.0,7,228.401776
2.0,7,228.520775
4.0,5,228.591775
1.0,6,228.670775
-7.0,5,228.739775
0.0,7,228.837228
-4.0,8,228.961734
-5.0,5,229.046736
3.0,5,229.116735
0.0,6,229.210736
3.0,5,229.295182
2.0,5,229.391192
22.0,7,229.489183
-6.0,9,229.719182
10.0,6,229.832182
3.0,6,229.927461
-5.0,10,230.071458
6.0,10,230.568025
-8.0,6,230.656023
0.0,6,230.765023
8.0,7,230.864545
4.0,5,230.922547
-2.0,6,231.012544
5.0,7,231.143551
-12.0,5,231.239594
-3.0,7,231.38355
12.0,5,231.479668
1.0,6,231.626141
-2.0,5,231.75214
-7.0,9,232.150334
-6.0,10,232.329471
-4.0,7,232.44647
0.0,6,232.589469
-1.0,5,232.678467
2.0,5,232.766699
-9.0,5,232.854767
-21.0,5,232.954805
-15.0,6,233.065793
0.0,5,233.195793
8.0,6,233.306792
7.0,6,233.442795
4.0,6,233.604331
7.0,6,233.759332
3.0,7,233.944462
-6.0,8,234.166458
-3.0,5,234.25567
-8.0,5,234.385674
-1.0,5,234.524672
13.0,5,234.624669
4.0,6,234.748672
-3.0,5,234.856021
-6.0,10,235.104219
-2.0,6,235.228217
2.0,6,235.384285
-5.0,7,235.537295
5.0,5,235.643234
7.0,8,235.784234
5.0,6,236.362929
16.0,5,236.44093
-4.0,6,236.550935
4.0,6,236.63693
0.0,7,236.797931
-11.0,5,236.912445
11.0,8,237.047638
4.0,6,237.184636
8.0,6,237.322818
2.0,6,237.49881
17.0,5,237.579809
8.0,6,237.69281
21.0,7,237.883807
-3.0,5,237.965319
3.0,6,238.078319
12.0,7,238.26132
-10.0,6,238.405564
15.0,5,238.506565
8.0,7,238.643565
3.0,5,238.756579
-8.0,7,238.882568
-11.0,6,238.983077
6.0,5,239.088081
2.0,6,239.227079
3.0,6,239.384077
8.0,5,239.491079
9.0,5,239.709237
-5.0,5,239.795238
3.0,8,239.938115
15.0,6,240.068117
4.0,6,240.191116
0.0,5,240.297115
7.0,5,240.423116
-2.0,5,240.559117
1.0,7,240.689116
-3.0,7,240.837115
9.0,5,240.92363
-2.0,7,241.03846
-5.0,6,241.157461
-1.0,6,241.259463
-4.0,5,241.361461
2.0,8,241.548462
4.0,6,241.685462
9.0,9,241.92001
1.0,8,242.050014
-8.0,5,242.149013
10.0,7,242.26301
-2.0,6,242.37101
-6.0,8,242.507155
6.0,5,242.589154
-1.0,5,242.674157
-1.0,6,242.786155
2.0,5,242.864155
1.0,7,242.966664
4.0,6,246.406766
-8.0,7,246.51778
1.0,5,246.597771
2.0,5,246.654769
-1.0,7,246.768769
5.0,8,246.88377
-3.0,7,247.006099
-3.0,8,247.145102
-14.0,5,247.224099
-18.0,6,247.306099
-1.0,5,247.3911
-3.0,6,247.496103
-2.0,6,247.647102
6.0,5,247.7221
-15.0,5,247.802101
-3.0,7,247.914249
-2.0,5,248.003759
12.0,8,248.161762
-1.0,6,248.260762
2.0,8,248.39476
2.0,7,248.540768
-13.0,5,248.632375
10.0,7,248.729374
-8.0,7,248.839377
10.0,5,248.908374
0.0,7,249.009451
0.0,9,249.147452
0.0,6,249.236338
8.0,5,249.339332
-3.0,9,249.485332
-2.0,5,249.56133
4.0,5,249.64433
-2.0,5,249.727333
9.0,8,249.826332
8.0,5,249.890334
0.0,6,250.018094
-13.0,6,250.117094
1.0,6,250.210103
15.0,8,250.345103
-6.0,5,250.442094
-2.0,5,250.528095
-21.0,7,250.650248
7.0,6,250.738246
-6.0,5,250.81525
-8.0,5,250.90835
2.0,7,250.998854
9.0,9,251.156854
4.0,9,251.416855
5.0,6,251.538853
1.0,5,251.647853
4.0,8,251.786856
0.0,6,251.871853
-10.0,8,251.984609
-1.0,6,252.139539
7.0,6,252.229542
-1.0,5,252.30654
-2.0,8,252.478948
11.0,6,252.621946
-14.0,5,252.704013
-3.0,6,252.844949
-13.0,7,253.026264
12.0,9,253.175261
-13.0,6,253.328746
11.0,6,253.416737
6.0,9,253.570739
8.0,5,253.646739
-4.0,5,253.748739
-2.0,7,253.847736
0.0,5,253.91482
2.0,5,253.976252
-7.0,8,254.12125
-9.0,5,254.188333
-5.0,6,254.289293
7.0,8,254.429294
4.0,5,254.554293
0.0,7,254.689602
11.0,6,254.782602
6.0,8,254.904602
2.0,7,255.01883
1.0,9,255.174831
3.0,7,255.274349
6.0,6,255.349349
4.0,6,255.46535
13.0,5,255.560352
-1.0,6,255.641351
4.0,5,255.722348
1.0,5,255.829365
5.0,7,255.966348
4.0,6,256.095798
3.0,5,256.211796
7.0,6,256.453805
