#{"t_start": 1732804559.5356572, "env_id": "sokoban-wide-v0"}
r,l,t
1.0,5,1.157304
4.0,7,1.262302
8.0,8,1.397302
3.0,7,1.489302
3.0,6,1.591303
-6.0,5,1.677634
3.0,7,1.837921
3.0,10,1.961922
-2.0,6,2.054478
-3.0,6,2.127471
4.0,5,2.200535
8.0,9,2.333477
-11.0,6,2.442469
2.0,5,2.513468
0.0,5,2.616472
6.0,6,2.70147
11.0,6,2.784468
-1.0,5,2.851952
3.0,5,2.92095
-4.0,6,3.010949
4.0,8,3.118443
4.0,5,3.213437
-1.0,7,3.308434
5.0,9,3.424572
-8.0,9,3.546578
9.0,5,3.629571
2.0,7,3.739578
0.0,7,4.258576
5.0,5,4.357697
4.0,8,4.4507
-6.0,7,4.558698
-1.0,6,4.649699
-8.0,5,4.7237
-12.0,6,4.800699
0.0,7,4.884208
0.0,8,4.986209
-5.0,5,5.049208
-4.0,8,5.148208
5.0,7,5.248293
-4.0,8,5.346241
-3.0,5,5.424241
-7.0,7,5.59024
4.0,6,5.657241
0.0,5,5.724243
-10.0,7,5.803242
1.0,7,5.912749
-4.0,7,5.98675
1.0,6,6.093759
-18.0,6,6.177931
1.0,7,6.264922
-6.0,8,6.367929
3.0,6,6.439921
8.0,5,6.51192
-1.0,6,6.635922
-13.0,5,6.695922
-2.0,5,6.748923
3.0,5,6.807922
-3.0,6,6.904428
0.0,5,6.966428
6.0,5,7.020428
9.0,5,7.082429
2.0,9,7.257428
0.0,6,7.378428
0.0,6,7.495432
-4.0,9,7.641944
-3.0,7,7.789885
1.0,9,7.969395
7.0,5,8.030396
3.0,7,8.156396
5.0,5,8.253464
0.0,5,8.327395
2.0,7,8.435395
-1.0,6,8.553399
-2.0,9,8.741397
-7.0,6,8.855905
6.0,5,9.029705
6.0,6,9.183705
-3.0,11,9.459775
-5.0,9,9.690797
-8.0,10,9.844312
2.0,5,9.924312
4.0,8,10.069312
6.0,9,10.263617
-18.0,8,10.497552
-2.0,6,10.60655
13.0,8,10.757559
-4.0,6,10.871072
4.0,5,10.952817
13.0,6,11.065827
-5.0,7,11.185814
1.0,10,11.341816
-8.0,7,11.464815
-12.0,6,11.568816
-14.0,7,11.673535
-5.0,7,11.764534
-8.0,6,11.854709
-16.0,6,11.927717
-14.0,5,12.022708
-4.0,6,12.106715
13.0,6,12.19971
17.0,6,12.305711
-1.0,6,12.397725
-3.0,5,12.547713
9.0,8,12.690709
0.0,8,12.811709
2.0,5,12.874214
9.0,5,12.97548
-11.0,5,13.049472
13.0,8,13.175474
-2.0,5,13.252474
-11.0,6,13.357474
1.0,6,13.458474
-10.0,5,13.527481
-1.0,6,13.625539
-6.0,7,13.762473
-7.0,5,13.851472
12.0,6,13.94198
-11.0,7,14.069981
-5.0,5,14.139979
7.0,6,14.223488
12.0,5,14.311745
-13.0,6,14.420189
2.0,6,14.554189
-4.0,7,14.686198
-15.0,6,14.76019
0.0,5,14.82319
-5.0,6,14.903263
-8.0,5,15.013261
8.0,6,15.155329
13.0,6,15.259261
-1.0,7,15.404334
-7.0,5,15.473341
5.0,5,15.560335
-3.0,6,15.676502
-4.0,6,15.778523
-8.0,9,15.927935
-10.0,8,16.119863
-11.0,6,16.20686
-6.0,7,16.31486
8.0,5,16.397863
-9.0,5,16.481861
12.0,6,16.567863
-7.0,5,16.630861
-1.0,9,16.75586
-2.0,7,16.85886
2.0,7,16.977367
11.0,7,17.080758
1.0,9,17.216756
-16.0,5,17.421859
3.0,8,17.658857
-1.0,7,18.438889
1.0,7,18.518889
0.0,5,18.581891
-5.0,5,18.660892
-9.0,5,18.736893
-8.0,5,19.268782
-4.0,6,19.356784
1.0,5,19.427782
10.0,5,19.488784
14.0,5,19.555783
-1.0,5,19.632781
-1.0,6,19.727782
-2.0,5,19.819275
-2.0,6,19.924714
3.0,5,20.015717
-1.0,8,20.175716
6.0,5,20.272716
-8.0,5,20.357849
-4.0,6,20.498846
-2.0,6,20.665846
-2.0,7,20.811848
0.0,5,20.904368
4.0,6,20.998364
-9.0,7,21.127363
-1.0,5,21.228512
-12.0,9,21.382514
5.0,5,21.461514
-11.0,6,21.598513
-6.0,5,21.685513
-9.0,7,21.809515
-6.0,6,21.91902
-2.0,6,21.994023
-8.0,9,22.127025
-7.0,8,22.254023
3.0,6,22.336019
-6.0,7,22.440022
12.0,5,22.554171
-3.0,6,22.674162
-6.0,6,22.765246
3.0,8,22.888241
0.0,5,23.024752
-7.0,6,23.112752
-8.0,6,23.192751
-4.0,8,23.299762
5.0,6,23.408751
-11.0,8,23.564752
-9.0,6,23.680603
-7.0,9,23.834678
-10.0,6,23.944959
-3.0,8,24.084994
-4.0,6,24.17596
