#{"t_start": 1732804559.5496564, "env_id": "sokoban-wide-v0"}
r,l,t
-8.0,7,1.178384
2.0,6,1.268302
1.0,6,1.364304
-8.0,5,1.437304
-1.0,7,1.542312
3.0,7,1.666636
-9.0,7,1.826921
6.0,6,1.901921
4.0,6,1.972922
-21.0,11,2.134473
0.0,7,2.222471
-5.0,6,2.321478
-10.0,6,2.431469
13.0,7,2.545469
-7.0,6,2.654471
2.0,7,2.749469
8.0,6,2.829023
-4.0,7,2.918026
1.0,6,3.00895
1.0,5,3.06495
14.0,8,3.219435
-8.0,7,3.306434
15.0,5,3.368434
5.0,5,3.43557
-2.0,8,3.55057
5.0,5,3.642572
-2.0,5,3.717579
2.0,5,4.212579
-5.0,7,4.323698
13.0,5,4.390701
0.0,6,4.4657
-2.0,5,4.5507
-6.0,6,4.642699
13.0,7,4.7427
-15.0,5,4.801699
-6.0,5,4.856209
-8.0,7,4.946209
-23.0,6,5.022209
-2.0,6,5.105208
15.0,6,5.182216
-10.0,6,5.267207
3.0,7,5.359241
13.0,5,5.44624
7.0,7,5.588241
-5.0,7,5.675242
-12.0,5,5.73725
6.0,10,5.87975
4.0,6,5.93875
-6.0,6,6.01875
4.0,9,6.16493
-4.0,5,6.23092
-1.0,6,6.314925
-5.0,5,6.366922
9.0,5,6.427922
4.0,5,6.500921
6.0,6,6.622923
-7.0,7,6.705922
-6.0,6,6.764925
5.0,6,6.84843
2.0,5,6.934429
2.0,5,6.983433
-9.0,5,7.04243
-2.0,5,7.10643
-13.0,6,7.246429
8.0,5,7.353429
-16.0,7,7.484438
-3.0,6,7.577883
-2.0,6,7.684885
3.0,5,7.807885
-6.0,6,7.902402
3.0,9,8.066397
-3.0,5,8.148397
0.0,10,8.316396
3.0,5,8.385398
10.0,5,8.488396
-8.0,5,8.571398
-16.0,8,8.747398
-5.0,7,8.868703
-10.0,6,9.124703
1.0,8,9.280704
4.0,7,9.482799
-14.0,6,9.646798
6.0,5,9.720798
5.0,5,9.799798
-9.0,6,9.897313
-2.0,7,10.02431
5.0,7,10.183311
3.0,7,10.345597
-15.0,5,10.485554
-2.0,6,10.598551
3.0,6,10.712551
1.0,7,10.838073
-5.0,8,10.968822
-13.0,5,11.072819
9.0,6,11.175881
-6.0,6,11.271815
-6.0,9,11.419816
6.0,5,11.499816
-8.0,9,11.640531
2.0,6,11.729532
1.0,6,11.81353
-4.0,6,11.892715
-1.0,6,11.99671
0.0,7,12.098712
13.0,6,12.188709
-3.0,6,12.293712
-14.0,5,12.37071
1.0,5,12.515712
10.0,5,12.604776
1.0,7,12.733709
-12.0,5,12.80071
-2.0,5,12.862215
5.0,6,12.980472
10.0,5,13.060472
-5.0,7,13.163474
-1.0,5,13.244474
24.0,7,13.371475
-3.0,12,13.543475
-7.0,6,13.655475
1.0,6,13.770473
0.0,5,13.860979
-11.0,5,13.93398
4.0,7,14.05898
-9.0,6,14.13998
-10.0,5,14.213488
3.0,7,14.32419
-7.0,7,14.48919
8.0,6,14.602193
-12.0,6,14.699199
-5.0,6,14.779191
-1.0,10,14.910264
0.0,6,15.075262
2.0,7,15.190262
2.0,10,15.392333
3.0,6,15.477402
-2.0,5,15.575335
1.0,5,15.669522
10.0,7,15.781524
5.0,7,15.900863
5.0,9,16.108865
3.0,7,16.217867
-6.0,5,16.292861
-5.0,5,16.370864
0.0,6,16.470861
0.0,6,16.556863
-2.0,7,16.643865
11.0,6,16.725861
-27.0,6,16.821861
-9.0,5,16.901376
7.0,7,17.016368
12.0,6,17.099754
2.0,6,17.191754
7.0,5,17.268754
-2.0,8,17.632859
-3.0,9,18.434889
-1.0,5,18.49589
-8.0,6,18.569892
-6.0,5,18.648892
-9.0,7,18.76389
8.0,5,19.288783
6.0,6,19.367783
1.0,6,19.455785
-7.0,5,19.515786
-10.0,6,19.607782
-6.0,5,19.688783
-5.0,5,19.783217
-4.0,6,19.873209
1.0,6,19.991727
-6.0,6,20.109716
-2.0,6,20.226718
-5.0,7,20.346851
12.0,6,20.493846
1.0,8,20.696849
6.0,6,20.817849
-1.0,7,20.939366
0.0,7,21.058364
2.0,6,21.176584
3.0,7,21.306515
0.0,5,21.386515
10.0,5,21.476592
2.0,5,21.587513
13.0,9,21.745513
-8.0,5,21.839513
-2.0,7,21.945019
-5.0,5,22.017029
9.0,8,22.135024
-10.0,8,22.255022
1.0,5,22.32502
-9.0,7,22.428023
-5.0,8,22.601162
-2.0,6,22.70631
10.0,7,22.817242
8.0,5,22.904752
0.0,8,23.072752
14.0,7,23.170752
0.0,5,23.234752
0.0,7,23.343752
-1.0,5,23.435753
-7.0,6,23.552752
6.0,6,23.667603
9.0,7,23.773604
-7.0,6,23.901963
3.0,8,24.043962
4.0,8,24.16496
-5.0,5,24.250962
-2.0,5,24.320965
-11.0,6,24.479959
-3.0,5,24.578959
-5.0,7,24.70296
0.0,7,24.813959
5.0,5,24.913002
-1.0,6,24.993999
3.0,5,25.064001
1.0,5,25.154
15.0,7,25.25766
-9.0,6,25.352756
0.0,5,25.440757
1.0,6,25.547753
9.0,5,25.618755
4.0,7,25.714755
-13.0,6,25.807753
21.0,6,25.902752
-6.0,5,25.992273
9.0,5,26.145284
-3.0,7,26.262269
-1.0,6,26.353269
-10.0,6,26.455269
9.0,7,26.58059
9.0,5,26.679595
-7.0,7,26.808595
16.0,6,26.8946
-2.0,6,26.988113
4.0,5,27.057199
7.0,7,27.355113
5.0,6,27.504482
-12.0,8,27.630479
2.0,5,27.701479
8.0,6,27.814484
-4.0,7,27.921116
5.0,9,28.073338
7.0,7,28.197324
3.0,9,28.384328
7.0,7,28.503322
-4.0,9,28.829322
