#{"t_start": 1732804559.5446708, "env_id": "sokoban-wide-v0"}
r,l,t
-13.0,8,1.202288
5.0,5,1.272288
1.0,6,1.36829
-6.0,7,1.470288
11.0,7,1.583289
0.0,8,1.710618
-3.0,7,1.870909
-3.0,6,1.943908
6.0,6,2.023912
16.0,7,2.120457
-2.0,5,2.192524
3.0,5,2.269455
-10.0,6,2.353464
1.0,7,2.477454
6.0,7,2.611455
-4.0,6,2.694457
0.0,7,2.79147
5.0,6,2.868938
0.0,5,2.938006
0.0,5,3.012935
-2.0,5,3.068935
9.0,7,3.20942
6.0,8,3.31042
-9.0,6,3.38242
-8.0,8,3.499555
0.0,5,3.570556
6.0,5,3.666558
4.0,5,3.731566
-1.0,8,4.261563
-1.0,11,4.428686
-3.0,5,4.495684
11.0,5,4.592686
-8.0,6,4.683686
-6.0,8,4.783685
-4.0,6,4.848194
1.0,7,4.941195
-1.0,8,5.041194
10.0,5,5.109193
-10.0,6,5.170194
-9.0,5,5.258192
15.0,8,5.363227
3.0,6,5.478226
9.0,5,5.582226
0.0,8,5.679228
4.0,5,5.741235
4.0,7,5.823736
11.0,8,5.930736
0.0,5,5.991736
-3.0,6,6.095737
-7.0,7,6.196907
-4.0,5,6.257907
6.0,5,6.332908
10.0,6,6.400908
-2.0,6,6.471908
-7.0,7,6.617908
0.0,5,6.677908
-2.0,8,6.75991
1.0,5,6.827415
-10.0,5,6.909414
15.0,6,6.977417
1.0,8,7.074415
5.0,7,7.176414
0.0,5,7.299416
-7.0,5,7.417415
-8.0,6,7.525868
8.0,7,7.634938
1.0,7,7.783873
7.0,5,7.876387
-1.0,5,7.974381
-6.0,7,8.087383
-5.0,6,8.195384
-9.0,5,8.281392
11.0,7,8.379384
-1.0,7,8.505381
0.0,6,8.615382
-1.0,6,8.750384
-7.0,5,8.84953
-1.0,6,9.079695
4.0,5,9.177691
-12.0,7,9.308691
5.0,10,9.620781
1.0,7,9.739784
-6.0,8,9.876298
4.0,7,9.997298
-12.0,8,10.172297
-8.0,7,10.331541
-7.0,8,10.519537
4.0,6,10.650537
-1.0,6,10.750539
3.0,6,10.864058
-9.0,7,10.973808
0.0,8,11.127803
5.0,5,11.220803
3.0,6,11.303867
3.0,7,11.415803
-4.0,6,11.517801
-3.0,7,11.629521
-5.0,6,11.720518
7.0,7,11.817516
-8.0,5,11.879704
6.0,5,11.970697
5.0,6,12.049695
-6.0,6,12.145695
-5.0,6,12.254762
-2.0,5,12.333697
0.0,6,12.415699
4.0,6,12.588776
-7.0,5,12.689695
1.0,7,12.791695
8.0,7,12.876199
1.0,5,12.984458
1.0,7,13.09146
-3.0,6,13.184459
11.0,6,13.291458
0.0,8,13.429459
-1.0,5,13.49653
5.0,6,13.577461
0.0,6,13.692458
-19.0,7,13.831458
1.0,8,13.957964
-1.0,9,14.106033
2.0,5,14.168966
-4.0,6,14.27501
-1.0,5,14.355175
-1.0,6,14.493176
4.0,6,14.603179
-11.0,5,14.691246
10.0,7,14.783176
