#{"t_start": 1732804559.539659, "env_id": "sokoban-wide-v0"}
r,l,t
-4.0,6,1.168302
8.0,5,1.24037
11.0,7,1.3503
1.0,5,1.437301
2.0,5,1.5023
-1.0,6,1.600224
-1.0,5,1.687629
-10.0,6,1.834919
10.0,7,1.92692
9.0,6,2.00492
-3.0,5,2.071466
6.0,6,2.160466
-9.0,5,2.222471
-4.0,6,2.314466
-1.0,7,2.439466
2.0,9,2.59952
4.0,8,2.711468
7.0,5,2.784547
-7.0,6,2.859949
0.0,6,2.942025
-3.0,5,3.016948
-4.0,5,3.072947
5.0,6,3.195434
-9.0,6,3.279521
3.0,5,3.337432
-7.0,7,3.430569
3.0,5,3.503567
-5.0,8,3.627568
6.0,6,3.726577
-2.0,7,4.246576
-6.0,7,4.366696
9.0,6,4.431698
3.0,8,4.557696
6.0,6,4.646697
-3.0,7,4.750697
-9.0,6,4.820206
-5.0,7,4.913207
-11.0,5,4.968206
-12.0,5,5.031206
-13.0,6,5.113207
4.0,5,5.164206
-11.0,9,5.300247
4.0,6,5.383239
2.0,8,5.559242
1.0,6,5.629243
12.0,6,5.711239
-5.0,8,5.80024
-12.0,5,5.885747
-8.0,6,5.946747
-2.0,5,6.008748
-6.0,7,6.128891
16.0,5,6.200919
-8.0,8,6.309918
-18.0,6,6.37592
2.0,6,6.44992
-11.0,7,6.597919
-4.0,5,6.65492
0.0,6,6.72492
0.0,9,6.831427
-8.0,5,6.913426
4.0,6,6.981427
9.0,5,7.036428
-4.0,7,7.129426
-17.0,6,7.271426
-6.0,5,7.381426
-6.0,5,7.474428
5.0,7,7.584889
13.0,7,7.716879
-10.0,6,7.8534
5.0,5,7.938395
-1.0,5,8.013393
-2.0,6,8.125394
-13.0,6,8.237396
-6.0,7,8.337393
-3.0,6,8.432393
-1.0,7,8.567396
14.0,6,8.679397
3.0,8,8.852903
9.0,7,9.102704
3.0,8,9.268703
-6.0,5,9.337704
-14.0,6,9.584793
-11.0,7,9.716795
1.0,6,9.806796
-18.0,6,9.905314
-6.0,7,10.029308
2.0,5,10.155308
7.0,7,10.282555
-6.0,8,10.508551
5.0,8,10.683557
-6.0,6,10.771549
16.0,8,10.913839
-6.0,5,10.997812
-13.0,7,11.130816
0.0,5,11.223814
-6.0,7,11.321814
-3.0,7,11.445813
-8.0,5,11.521813
5.0,7,11.633533
0.0,8,11.749529
9.0,7,11.850707
-5.0,5,11.913713
-4.0,6,12.019707
-1.0,7,12.119717
2.0,7,12.230709
3.0,6,12.337709
-5.0,8,12.52371
-6.0,5,12.612773
14.0,7,12.742707
-2.0,7,12.837707
16.0,8,12.973479
-8.0,6,13.069469
-6.0,6,13.151476
-12.0,6,13.250472
4.0,7,13.374472
1.0,7,13.483469
-7.0,7,13.581472
-7.0,6,13.69647
0.0,6,13.81647
-3.0,7,13.919986
-8.0,7,14.050977
-3.0,6,14.136978
7.0,7,14.247504
-4.0,5,14.319256
-5.0,5,14.417187
-1.0,5,14.533187
-2.0,6,14.645187
2.0,5,14.723197
4.0,7,14.810189
7.0,9,14.947259
-6.0,5,15.08326
2.0,5,15.161266
2.0,5,15.256259
-11.0,6,15.378334
-7.0,6,15.470336
-11.0,6,15.582332
-1.0,5,15.673003
-1.0,7,15.789522
-4.0,9,15.954862
7.0,9,16.144858
2.0,7,16.248863
0.0,9,16.394861
-2.0,5,16.47886
-1.0,6,16.56486
1.0,10,16.692861
10.0,8,16.809859
-17.0,6,16.910367
