#{"t_start": 1732542272.5013812, "env_id": "sokoban-narrow-v0"}
r,l,t
3.0,8,2.888493
9.0,6,2.92442
3.0,8,2.975772
6.0,5,3.01829
7.0,5,3.056867
7.0,7,3.104912
4.0,6,3.145843
-10.0,7,3.198432
5.0,8,3.257562
-8.0,6,3.299499
1.0,5,3.335013
6.0,7,3.380885
3.0,8,3.426911
-2.0,6,3.481915
1.0,6,3.521253
7.0,7,3.572296
2.0,5,3.605753
3.0,8,3.651749
1.0,10,3.700047
2.0,5,3.728556
7.0,8,3.788123
1.0,8,3.827745
2.0,6,3.856691
7.0,14,3.927557
-3.0,6,3.953522
7.0,8,3.99211
20.0,5,4.019834
9.0,9,4.067266
-8.0,10,4.121505
5.0,7,4.159092
-8.0,8,4.200787
7.0,7,4.24473
2.0,6,4.278835
-9.0,6,4.310922
-1.0,7,4.351366
6.0,7,4.385879
10.0,8,4.429904
4.0,6,4.460418
1.0,11,4.542037
-6.0,6,4.587552
2.0,6,4.639589
-11.0,9,4.723106
-2.0,7,4.779106
-5.0,9,4.876129
13.0,8,4.931672
4.0,7,4.975187
2.0,10,5.026911
0.0,9,5.084531
3.0,5,5.126037
-9.0,9,5.185055
-1.0,9,5.245604
1.0,12,5.336488
4.0,6,5.371005
-10.0,6,5.415524
-2.0,8,5.452528
8.0,9,5.506034
-5.0,10,5.562542
0.0,6,5.611059
0.0,9,5.668571
-2.0,8,5.72608
6.0,10,5.782591
-4.0,6,5.823791
14.0,10,5.882025
0.0,6,5.925948
-1.0,9,5.990527
0.0,9,6.040551
10.0,5,6.074553
10.0,6,6.105577
6.0,11,6.173575
1.0,8,6.222611
-4.0,7,6.259614
6.0,7,6.304628
-5.0,6,6.338635
16.0,5,6.373148
7.0,6,6.407662
10.0,7,6.451174
15.0,6,6.487175
-4.0,7,6.5222
-5.0,9,6.573199
2.0,7,6.617227
-6.0,6,6.666744
15.0,6,6.715022
-11.0,9,6.783858
0.0,7,6.827376
2.0,11,6.914911
-6.0,8,6.970432
-4.0,9,7.031978
2.0,8,7.085776
-7.0,7,7.143714
-1.0,5,7.188043
6.0,7,7.227563
-3.0,7,7.281079
-10.0,7,7.317591
-2.0,12,7.399618
2.0,7,7.44413
-6.0,5,7.47913
1.0,7,7.514643
-16.0,6,7.549162
0.0,11,7.616677
13.0,7,7.65019
0.0,6,7.682191
-6.0,10,7.750218
4.0,9,7.79773
2.0,5,7.834239
4.0,6,7.863241
-3.0,8,7.899753
2.0,8,7.940267
8.0,5,7.967783
3.0,5,8.011946
7.0,6,8.06651
1.0,6,8.106057
6.0,5,8.139638
5.0,6,8.169711
0.0,10,8.235225
4.0,8,8.279741
-1.0,6,8.312251
-2.0,6,8.343763
7.0,14,8.428076
-3.0,6,8.478077
5.0,11,8.556099
0.0,9,8.62912
6.0,11,8.714165
-1.0,6,8.750243
12.0,6,8.786765
-25.0,5,8.816352
-1.0,8,8.874176
-3.0,7,9.021014
6.0,6,9.076537
2.0,8,9.14106
-21.0,8,9.187083
-3.0,6,9.220595
-13.0,8,9.279598
-1.0,9,9.341106
-5.0,5,9.377621
-2.0,9,9.573308
2.0,6,9.603838
8.0,6,9.634011
6.0,12,9.71514
-2.0,13,9.973515
-1.0,5,10.025676
