#{"t_start": 1732542272.4861205, "env_id": "sokoban-narrow-v0"}
r,l,t
5.0,8,2.901754
14.0,7,2.943681
0.0,5,2.975019
-2.0,9,3.045436
-2.0,8,3.101334
-4.0,9,3.166001
-3.0,9,3.238319
-1.0,7,3.287503
5.0,7,3.337212
-1.0,11,3.409671
-8.0,8,3.457171
-4.0,5,3.500458
-5.0,6,3.540581
5.0,8,3.597492
-2.0,9,3.655044
5.0,8,3.695349
-8.0,7,3.727636
7.0,8,3.785522
-11.0,14,3.861996
-5.0,8,3.903806
8.0,7,3.93554
-6.0,8,3.972384
5.0,6,4.001676
9.0,9,4.050026
9.0,7,4.086331
-10.0,8,4.127765
4.0,7,4.166683
-10.0,6,4.197974
-6.0,11,4.26653
-2.0,9,4.314677
-1.0,8,4.360114
18.0,7,4.393625
-1.0,6,4.421654
-6.0,7,4.461671
-6.0,7,4.509509
-4.0,7,4.560298
-2.0,7,4.620331
1.0,7,4.672859
8.0,11,4.776364
-8.0,10,4.868389
13.0,7,4.931418
6.0,6,4.969439
-10.0,6,5.006028
0.0,5,5.029607
-8.0,5,5.056277
-8.0,6,5.098789
8.0,12,5.179807
0.0,5,5.222824
15.0,7,5.264927
6.0,10,5.344237
-1.0,11,5.415271
2.0,7,5.451787
-10.0,9,5.497785
4.0,5,5.535294
8.0,6,5.565296
-8.0,10,5.634319
-13.0,12,5.722339
5.0,12,5.789852
-15.0,10,5.854519
-5.0,7,5.894681
-12.0,8,5.953298
4.0,9,6.012788
-9.0,7,6.053812
7.0,5,6.087814
-9.0,7,6.126835
-17.0,8,6.177836
-6.0,8,6.220879
9.0,8,6.267875
-8.0,7,6.311385
-1.0,10,6.372407
-1.0,8,6.421924
11.0,6,6.458435
1.0,7,6.500437
-6.0,10,6.548457
6.0,7,6.591472
5.0,9,6.657005
-14.0,6,6.70101
14.0,7,6.757128
-6.0,9,6.818119
-6.0,7,6.867638
-3.0,7,6.928165
1.0,10,6.999692
12.0,9,7.05824
-8.0,10,7.130706
-6.0,7,7.192794
-3.0,6,7.227824
8.0,8,7.284336
3.0,7,7.326853
9.0,7,7.379366
3.0,6,7.412883
-5.0,7,7.457391
0.0,10,7.517396
4.0,10,7.576423
-1.0,6,7.616425
9.0,13,7.679451
2.0,8,7.730478
4.0,9,7.78148
-1.0,6,7.817991
-5.0,6,7.856502
-1.0,8,7.894502
-1.0,9,7.938526
8.0,10,7.998042
2.0,7,8.052985
5.0,6,8.102303
8.0,7,8.153899
-6.0,6,8.18046
-17.0,12,8.259994
2.0,8,8.302002
-3.0,7,8.340513
21.0,7,8.386311
10.0,8,8.426831
2.0,7,8.48034
-8.0,9,8.551358
0.0,6,8.58336
6.0,8,8.65589
-3.0,7,8.707401
-8.0,6,8.750002
0.0,10,8.813026
-10.0,5,8.841308
0.0,6,8.886899
3.0,6,8.926193
7.0,5,9.076274
5.0,7,9.134316
0.0,7,9.177831
0.0,8,9.221346
-15.0,5,9.259863
-10.0,6,9.300856
-1.0,7,9.350367
-1.0,5,9.38288
-8.0,8,9.573428
7.0,10,9.626573
5.0,6,9.657317
-1.0,7,9.711869
-7.0,7,9.754978
-2.0,5,9.786821
-8.0,10,10.044105
-6.0,10,10.106888
22.0,7,10.144736
-1.0,5,10.180992
0.0,8,10.228846
-3.0,5,10.261904
-4.0,6,10.302371
3.0,8,10.360828
8.0,9,10.412111
10.0,6,10.454312
-11.0,8,10.505293
-8.0,13,10.598398
-2.0,6,10.644561
1.0,5,10.674076
6.0,9,10.718456
-3.0,5,10.746419
5.0,6,10.775609
-10.0,7,10.836732
6.0,11,10.916361
0.0,9,10.966679
-8.0,6,11.006191
5.0,5,11.040156
4.0,9,11.087464
-10.0,9,11.137101
-10.0,9,11.193547
-2.0,10,11.275935
4.0,8,11.326107
2.0,5,11.359066
0.0,6,11.386482
3.0,8,11.429798
9.0,8,11.483959
-8.0,5,11.543739
-3.0,11,11.630944
-3.0,10,11.683791
7.0,9,11.750538
4.0,7,11.782675
10.0,8,11.843691
-2.0,9,11.917352
0.0,6,11.965328
-10.0,6,11.995555
-1.0,7,12.044839
-4.0,6,12.081572
8.0,7,12.142868
8.0,8,12.18412
-3.0,9,12.227564
-9.0,5,12.259357
5.0,6,12.291004
-8.0,7,12.329859
-8.0,11,12.394671
-1.0,7,12.434222
-13.0,9,12.505056
0.0,12,12.582663
2.0,8,12.639865
10.0,8,12.705398
-6.0,9,12.765351
-5.0,9,12.816685
7.0,7,12.854903
6.0,11,12.918189
-2.0,10,12.978566
14.0,10,13.043142
-6.0,7,13.08378
5.0,5,13.119697
-6.0,5,13.153105
14.0,6,13.196493
-5.0,18,13.330886
5.0,10,13.418542
8.0,9,13.481862
4.0,5,13.509518
3.0,6,13.541828
-18.0,6,13.571695
-1.0,5,13.601585
-9.0,8,13.648491
2.0,6,13.684117
1.0,6,13.717483
18.0,7,13.755756
-2.0,7,13.792108
-11.0,7,13.828475
-12.0,6,13.867228
8.0,6,13.90241
-7.0,8,13.945898
9.0,8,13.994897
-3.0,6,14.026892
1.0,7,14.067398
2.0,12,14.136147
2.0,10,14.190769
1.0,7,14.226014
10.0,6,14.2728
-1.0,11,14.338759
3.0,8,14.38373
0.0,10,14.446021
-2.0,7,14.4856
3.0,7,14.525833
7.0,7,14.565838
-8.0,9,14.614523
1.0,7,14.661516
-2.0,8,14.766481
-5.0,5,14.805405
-8.0,7,14.852648
1.0,8,14.906132
-10.0,6,14.945633
-7.0,7,14.993422
-1.0,8,15.054645
10.0,9,15.139988
0.0,6,16.074213
5.0,8,16.120216
8.0,8,16.179978
0.0,10,16.242709
3.0,6,16.278816
0.0,5,16.308131
5.0,7,16.348343
-5.0,6,16.385755
5.0,7,16.440334
